funcid,dim,milestone,error
27,10,1,5.741847e+02
27,10,2,5.348844e+02
27,10,3,4.665019e+02
27,10,5,4.583106e+02
27,10,10,4.539746e+02
27,10,20,4.259292e+02
27,10,30,3.992343e+02
27,10,40,3.933555e+02
27,10,50,3.933555e+02
27,10,60,3.846935e+02
27,10,70,3.816525e+02
27,10,80,3.792819e+02
27,10,90,3.783592e+02
27,10,100,3.771654e+02
27,10,1,4.480138e+02
27,10,2,4.480138e+02
27,10,3,4.441613e+02
27,10,5,4.220454e+02
27,10,10,4.112937e+02
27,10,20,4.112884e+02
27,10,30,3.988272e+02
27,10,40,3.947795e+02
27,10,50,3.940590e+02
27,10,60,3.923904e+02
27,10,70,3.865733e+02
27,10,80,3.801193e+02
27,10,90,3.800827e+02
27,10,100,3.788545e+02
27,10,1,5.305684e+02
27,10,2,4.858111e+02
27,10,3,4.291662e+02
27,10,5,4.167685e+02
27,10,10,4.115581e+02
27,10,20,4.110479e+02
27,10,30,4.110479e+02
27,10,40,4.025648e+02
27,10,50,4.025648e+02
27,10,60,4.025648e+02
27,10,70,3.948213e+02
27,10,80,3.948213e+02
27,10,90,3.948213e+02
27,10,100,3.948213e+02
27,10,1,5.191900e+02
27,10,2,5.191900e+02
27,10,3,4.806424e+02
27,10,5,4.791801e+02
27,10,10,4.647744e+02
27,10,20,4.252903e+02
27,10,30,4.003735e+02
27,10,40,3.971350e+02
27,10,50,3.862825e+02
27,10,60,3.853824e+02
27,10,70,3.789386e+02
27,10,80,3.776784e+02
27,10,90,3.774376e+02
27,10,100,3.774376e+02
27,10,1,5.144562e+02
27,10,2,5.144562e+02
27,10,3,4.547225e+02
27,10,5,4.503379e+02
27,10,10,4.435088e+02
27,10,20,4.402113e+02
27,10,30,4.018807e+02
27,10,40,4.018807e+02
27,10,50,4.018807e+02
27,10,60,4.018807e+02
27,10,70,4.018807e+02
27,10,80,4.007766e+02
27,10,90,4.007766e+02
27,10,100,3.967437e+02
27,10,1,5.260597e+02
27,10,2,5.260597e+02
27,10,3,4.714777e+02
27,10,5,4.442662e+02
27,10,10,4.441306e+02
27,10,20,4.190730e+02
27,10,30,3.989296e+02
27,10,40,3.937158e+02
27,10,50,3.819900e+02
27,10,60,3.794380e+02
27,10,70,3.783440e+02
27,10,80,3.757942e+02
27,10,90,3.757942e+02
27,10,100,3.757942e+02
27,10,1,5.481721e+02
27,10,2,5.266901e+02
27,10,3,4.707465e+02
27,10,5,4.201813e+02
27,10,10,4.198426e+02
27,10,20,4.196133e+02
27,10,30,3.924928e+02
27,10,40,3.924928e+02
27,10,50,3.924928e+02
27,10,60,3.924928e+02
27,10,70,3.924928e+02
27,10,80,3.924928e+02
27,10,90,3.924928e+02
27,10,100,3.924928e+02
27,10,1,4.935151e+02
27,10,2,4.935151e+02
27,10,3,4.563159e+02
27,10,5,4.519075e+02
27,10,10,4.163783e+02
27,10,20,4.163027e+02
27,10,30,3.953251e+02
27,10,40,3.953251e+02
27,10,50,3.890865e+02
27,10,60,3.839295e+02
27,10,70,3.813048e+02
27,10,80,3.788703e+02
27,10,90,3.771644e+02
27,10,100,3.771395e+02
27,10,1,5.394419e+02
27,10,2,5.227426e+02
27,10,3,4.101633e+02
27,10,5,4.076919e+02
27,10,10,4.068356e+02
27,10,20,4.066928e+02
27,10,30,4.066928e+02
27,10,40,3.943055e+02
27,10,50,3.917218e+02
27,10,60,3.915677e+02
27,10,70,3.876061e+02
27,10,80,3.806064e+02
27,10,90,3.782230e+02
27,10,100,3.768000e+02
27,10,1,5.018524e+02
27,10,2,5.018524e+02
27,10,3,4.313981e+02
27,10,5,4.313562e+02
27,10,10,4.299283e+02
27,10,20,4.293988e+02
27,10,30,3.976762e+02
27,10,40,3.917874e+02
27,10,50,3.869811e+02
27,10,60,3.826529e+02
27,10,70,3.782132e+02
27,10,80,3.778267e+02
27,10,90,3.769409e+02
27,10,100,3.769409e+02
