funcid,dim,milestone,error
26,10,1,1.359715e+03
26,10,2,1.359715e+03
26,10,3,8.274748e+02
26,10,5,3.196851e+02
26,10,10,2.000013e+02
26,10,20,2.000000e+02
26,10,30,2.000000e+02
26,10,40,2.000000e+02
26,10,50,2.000000e+02
26,10,60,2.000000e+02
26,10,70,2.000000e+02
26,10,80,2.000000e+02
26,10,90,2.000000e+02
26,10,100,2.000000e+02
26,10,1,1.015291e+03
26,10,2,1.015291e+03
26,10,3,4.629285e+02
26,10,5,4.622299e+02
26,10,10,4.622206e+02
26,10,20,4.622206e+02
26,10,30,4.622206e+02
26,10,40,4.622206e+02
26,10,50,4.622206e+02
26,10,60,4.622206e+02
26,10,70,4.622206e+02
26,10,80,4.622206e+02
26,10,90,4.622206e+02
26,10,100,4.622206e+02
26,10,1,1.598098e+03
26,10,2,1.227894e+03
26,10,3,8.812198e+02
26,10,5,3.296550e+02
26,10,10,3.000001e+02
26,10,20,3.000000e+02
26,10,30,3.000000e+02
26,10,40,3.000000e+02
26,10,50,3.000000e+02
26,10,60,3.000000e+02
26,10,70,3.000000e+02
26,10,80,3.000000e+02
26,10,90,3.000000e+02
26,10,100,3.000000e+02
26,10,1,9.251237e+02
26,10,2,9.251237e+02
26,10,3,6.132867e+02
26,10,5,4.598574e+02
26,10,10,4.482292e+02
26,10,20,4.482291e+02
26,10,30,4.482291e+02
26,10,40,4.482291e+02
26,10,50,4.482291e+02
26,10,60,4.482291e+02
26,10,70,4.482291e+02
26,10,80,4.482291e+02
26,10,90,4.482291e+02
26,10,100,4.482291e+02
26,10,1,1.214424e+03
26,10,2,1.011314e+03
26,10,3,6.626159e+02
26,10,5,6.521378e+02
26,10,10,6.427239e+02
26,10,20,6.208949e+02
26,10,30,6.208949e+02
26,10,40,6.208949e+02
26,10,50,6.208949e+02
26,10,60,6.208949e+02
26,10,70,6.208949e+02
26,10,80,6.208949e+02
26,10,90,5.843854e+02
26,10,100,3.676286e+02
26,10,1,8.507769e+02
26,10,2,8.507769e+02
26,10,3,4.079962e+02
26,10,5,3.740846e+02
26,10,10,3.470789e+02
26,10,20,3.000001e+02
26,10,30,3.000001e+02
26,10,40,3.000001e+02
26,10,50,3.000001e+02
26,10,60,3.000001e+02
26,10,70,3.000001e+02
26,10,80,3.000001e+02
26,10,90,3.000001e+02
26,10,100,3.000000e+02
26,10,1,9.967677e+02
26,10,2,9.967677e+02
26,10,3,8.444719e+02
26,10,5,2.902884e-02
26,10,10,3.100304e-07
26,10,20,1.818989e-11
26,10,30,1.818989e-11
26,10,40,1.818989e-11
26,10,50,1.818989e-11
26,10,60,1.818989e-11
26,10,70,1.818989e-11
26,10,80,1.818989e-11
26,10,90,1.818989e-11
26,10,100,1.455192e-11
26,10,1,1.011888e+03
26,10,2,1.011888e+03
26,10,3,3.112003e+02
26,10,5,3.002458e+02
26,10,10,3.000000e+02
26,10,20,3.000000e+02
26,10,30,3.000000e+02
26,10,40,3.000000e+02
26,10,50,3.000000e+02
26,10,60,3.000000e+02
26,10,70,3.000000e+02
26,10,80,3.000000e+02
26,10,90,3.000000e+02
26,10,100,3.000000e+02
26,10,1,1.151078e+03
26,10,2,1.151078e+03
26,10,3,7.197446e+02
26,10,5,5.893062e+02
26,10,10,5.888293e+02
26,10,20,3.450141e+02
26,10,30,3.450141e+02
26,10,40,3.450141e+02
26,10,50,3.450141e+02
26,10,60,3.450141e+02
26,10,70,3.450141e+02
26,10,80,3.450141e+02
26,10,90,3.450141e+02
26,10,100,3.000000e+02
26,10,1,1.118950e+03
26,10,2,1.091351e+03
26,10,3,5.261709e+02
26,10,5,5.240884e+02
26,10,10,5.228694e+02
26,10,20,2.210907e+02
26,10,30,2.210907e+02
26,10,40,2.210907e+02
26,10,50,2.210907e+02
26,10,60,2.210907e+02
26,10,70,2.210907e+02
26,10,80,2.210907e+02
26,10,90,2.210907e+02
26,10,100,2.210907e+02
