funcid,dim,milestone,error
17,10,1,5.182564e+02
17,10,2,2.220397e+02
17,10,3,1.270293e+02
17,10,5,1.192189e+02
17,10,10,1.153094e+02
17,10,20,1.152368e+02
17,10,30,1.152368e+02
17,10,40,1.076790e+02
17,10,50,6.952718e+01
17,10,60,5.987541e+01
17,10,70,5.303014e+01
17,10,80,5.279307e+01
17,10,90,4.525868e+01
17,10,100,4.525868e+01
17,10,1,2.690383e+02
17,10,2,2.690383e+02
17,10,3,8.679744e+01
17,10,5,8.672675e+01
17,10,10,8.632838e+01
17,10,20,8.365855e+01
17,10,30,8.365855e+01
17,10,40,8.365855e+01
17,10,50,5.860178e+01
17,10,60,5.700217e+01
17,10,70,5.700217e+01
17,10,80,4.326738e+01
17,10,90,4.326738e+01
17,10,100,4.128383e+01
17,10,1,2.921398e+02
17,10,2,2.921398e+02
17,10,3,1.634052e+02
17,10,5,1.607622e+02
17,10,10,1.412255e+02
17,10,20,1.283112e+02
17,10,30,9.476637e+01
17,10,40,9.215610e+01
17,10,50,8.649623e+01
17,10,60,7.563792e+01
17,10,70,5.834034e+01
17,10,80,5.834034e+01
17,10,90,5.626620e+01
17,10,100,5.626620e+01
17,10,1,3.421813e+02
17,10,2,3.421813e+02
17,10,3,2.094930e+02
17,10,5,2.094347e+02
17,10,10,9.493545e+01
17,10,20,8.737766e+01
17,10,30,6.600058e+01
17,10,40,5.705044e+01
17,10,50,5.705044e+01
17,10,60,5.705044e+01
17,10,70,5.601328e+01
17,10,80,4.856670e+01
17,10,90,3.837707e+01
17,10,100,3.763943e+01
17,10,1,2.468966e+02
17,10,2,2.468966e+02
17,10,3,1.076522e+02
17,10,5,1.073095e+02
17,10,10,1.071986e+02
17,10,20,1.070402e+02
17,10,30,7.787734e+01
17,10,40,7.564989e+01
17,10,50,7.161003e+01
17,10,60,6.358434e+01
17,10,70,5.105860e+01
17,10,80,4.016865e+01
17,10,90,4.016865e+01
17,10,100,4.016865e+01
17,10,1,2.965419e+02
17,10,2,2.482001e+02
17,10,3,1.034657e+02
17,10,5,1.032357e+02
17,10,10,1.023523e+02
17,10,20,1.019095e+02
17,10,30,8.695625e+01
17,10,40,8.209564e+01
17,10,50,5.864331e+01
17,10,60,5.864331e+01
17,10,70,5.864331e+01
17,10,80,4.698023e+01
17,10,90,4.698023e+01
17,10,100,4.698023e+01
17,10,1,1.651211e+02
17,10,2,1.651211e+02
17,10,3,1.147913e+02
17,10,5,1.147672e+02
17,10,10,1.142078e+02
17,10,20,1.132735e+02
17,10,30,7.737476e+01
17,10,40,7.737476e+01
17,10,50,6.781673e+01
17,10,60,6.378227e+01
17,10,70,4.005857e+01
17,10,80,4.005857e+01
17,10,90,4.005857e+01
17,10,100,3.587432e+01
17,10,1,4.670607e+02
17,10,2,3.807126e+02
17,10,3,3.278296e+02
17,10,5,9.203313e+01
17,10,10,9.095550e+01
17,10,20,8.682745e+01
17,10,30,8.682745e+01
17,10,40,8.040858e+01
17,10,50,6.899960e+01
17,10,60,5.647627e+01
17,10,70,5.624251e+01
17,10,80,4.022205e+01
17,10,90,4.022205e+01
17,10,100,4.022205e+01
17,10,1,3.582922e+02
17,10,2,2.964027e+02
17,10,3,1.960252e+02
17,10,5,1.860390e+02
17,10,10,1.828914e+02
17,10,20,1.813774e+02
17,10,30,1.160665e+02
17,10,40,1.083381e+02
17,10,50,8.967534e+01
17,10,60,6.526251e+01
17,10,70,5.828764e+01
17,10,80,4.841680e+01
17,10,90,4.841680e+01
17,10,100,4.841680e+01
17,10,1,3.602080e+02
17,10,2,3.511426e+02
17,10,3,1.595606e+02
17,10,5,1.595584e+02
17,10,10,1.157548e+02
17,10,20,1.031327e+02
17,10,30,1.031327e+02
17,10,40,8.308855e+01
17,10,50,7.036381e+01
17,10,60,6.986769e+01
17,10,70,6.986769e+01
17,10,80,5.977658e+01
17,10,90,5.547334e+01
17,10,100,4.488990e+01
