funcid,dim,milestone,error
3,50,1,3.527669e+05
3,50,2,2.869458e+05
3,50,3,2.830363e+05
3,50,5,2.770320e+05
3,50,10,2.682900e+05
3,50,20,2.682900e+05
3,50,30,2.682900e+05
3,50,40,2.682900e+05
3,50,50,2.682900e+05
3,50,60,2.682900e+05
3,50,70,2.682900e+05
3,50,80,2.682900e+05
3,50,90,2.682900e+05
3,50,100,2.561888e+05
3,50,1,4.071422e+05
3,50,2,4.030348e+05
3,50,3,3.992485e+05
3,50,5,3.904056e+05
3,50,10,3.765299e+05
3,50,20,3.765299e+05
3,50,30,3.765299e+05
3,50,40,3.765299e+05
3,50,50,3.765299e+05
3,50,60,3.765299e+05
3,50,70,3.765299e+05
3,50,80,3.765299e+05
3,50,90,3.765299e+05
3,50,100,3.581357e+05
3,50,1,3.824789e+05
3,50,2,2.498956e+05
3,50,3,2.462557e+05
3,50,5,2.398109e+05
3,50,10,2.316878e+05
3,50,20,2.316878e+05
3,50,30,2.316878e+05
3,50,40,2.316878e+05
3,50,50,2.316878e+05
3,50,60,2.316878e+05
3,50,70,2.316878e+05
3,50,80,2.316878e+05
3,50,90,2.316878e+05
3,50,100,2.225198e+05
3,50,1,2.132166e+05
3,50,2,2.104069e+05
3,50,3,2.075886e+05
3,50,5,2.027869e+05
3,50,10,1.962100e+05
3,50,20,1.962100e+05
3,50,30,1.962100e+05
3,50,40,1.962100e+05
3,50,50,1.962100e+05
3,50,60,1.962100e+05
3,50,70,1.962100e+05
3,50,80,1.962100e+05
3,50,90,1.962100e+05
3,50,100,1.875699e+05
3,50,1,3.212955e+05
3,50,2,3.174348e+05
3,50,3,2.134431e+05
3,50,5,2.090026e+05
3,50,10,2.032164e+05
3,50,20,2.032164e+05
3,50,30,2.032164e+05
3,50,40,2.032164e+05
3,50,50,2.032164e+05
3,50,60,2.032164e+05
3,50,70,2.032164e+05
3,50,80,2.032164e+05
3,50,90,2.032164e+05
3,50,100,1.959696e+05
3,50,1,3.181173e+05
3,50,2,3.152558e+05
3,50,3,2.277527e+05
3,50,5,2.214959e+05
3,50,10,2.127446e+05
3,50,20,2.127446e+05
3,50,30,2.127446e+05
3,50,40,2.127446e+05
3,50,50,2.127446e+05
3,50,60,2.127446e+05
3,50,70,2.127446e+05
3,50,80,2.127446e+05
3,50,90,2.127446e+05
3,50,100,2.032241e+05
3,50,1,3.857014e+05
3,50,2,3.819414e+05
3,50,3,2.609334e+05
3,50,5,2.550766e+05
3,50,10,2.467051e+05
3,50,20,2.467051e+05
3,50,30,2.467051e+05
3,50,40,2.467051e+05
3,50,50,2.467051e+05
3,50,60,2.467051e+05
3,50,70,2.467051e+05
3,50,80,2.467051e+05
3,50,90,2.467051e+05
3,50,100,2.361036e+05
3,50,1,4.390356e+05
3,50,2,4.049316e+05
3,50,3,2.541220e+05
3,50,5,2.430853e+05
3,50,10,2.348265e+05
3,50,20,2.348265e+05
3,50,30,2.348265e+05
3,50,40,2.348265e+05
3,50,50,2.348265e+05
3,50,60,2.348265e+05
3,50,70,2.348265e+05
3,50,80,2.348265e+05
3,50,90,2.348265e+05
3,50,100,2.237135e+05
3,50,1,2.983863e+05
3,50,2,2.958347e+05
3,50,3,2.925315e+05
3,50,5,2.854544e+05
3,50,10,2.755757e+05
3,50,20,2.755757e+05
3,50,30,2.755757e+05
3,50,40,2.755757e+05
3,50,50,2.755757e+05
3,50,60,2.755757e+05
3,50,70,2.755757e+05
3,50,80,2.755757e+05
3,50,90,2.755757e+05
3,50,100,2.635486e+05
3,50,1,2.993680e+05
3,50,2,1.939837e+05
3,50,3,1.915910e+05
3,50,5,1.873986e+05
3,50,10,1.801466e+05
3,50,20,1.801466e+05
3,50,30,1.801466e+05
3,50,40,1.801466e+05
3,50,50,1.801466e+05
3,50,60,1.801466e+05
3,50,70,1.801466e+05
3,50,80,1.801466e+05
3,50,90,1.801466e+05
3,50,100,1.713903e+05
