funcid,dim,milestone,error
15,10,1,8.275329e+04
15,10,2,1.820265e+04
15,10,3,1.159125e+04
15,10,5,1.144947e+04
15,10,10,1.120813e+04
15,10,20,1.081134e+04
15,10,30,6.361258e+02
15,10,40,5.798645e+02
15,10,50,5.129795e+02
15,10,60,3.162176e+02
15,10,70,1.969421e+02
15,10,80,1.035574e+02
15,10,90,6.169250e+01
15,10,100,5.880471e+01
15,10,1,3.197493e+04
15,10,2,8.681388e+03
15,10,3,4.412572e+03
15,10,5,4.403780e+03
15,10,10,4.386580e+03
15,10,20,4.360734e+03
15,10,30,2.882921e+03
15,10,40,1.442460e+03
15,10,50,2.947310e+02
15,10,60,1.728589e+02
15,10,70,1.728589e+02
15,10,80,1.038720e+02
15,10,90,7.694699e+01
15,10,100,6.064911e+01
15,10,1,7.801084e+04
15,10,2,3.387205e+04
15,10,3,3.343843e+04
15,10,5,2.624765e+04
15,10,10,2.600033e+04
15,10,20,2.998392e+03
15,10,30,2.410258e+03
15,10,40,1.345106e+03
15,10,50,7.764055e+02
15,10,60,5.462618e+02
15,10,70,2.561482e+02
15,10,80,8.513871e+01
15,10,90,7.971278e+01
15,10,100,4.526146e+01
15,10,1,5.611158e+04
15,10,2,5.122100e+04
15,10,3,4.397161e+04
15,10,5,3.936724e+04
15,10,10,3.791360e+04
15,10,20,3.519130e+04
15,10,30,1.268101e+03
15,10,40,7.803969e+02
15,10,50,5.696558e+02
15,10,60,3.928209e+02
15,10,70,1.719349e+02
15,10,80,1.024558e+02
15,10,90,7.418471e+01
15,10,100,5.085468e+01
15,10,1,2.894196e+05
15,10,2,1.330047e+04
15,10,3,2.638416e+03
15,10,5,2.608616e+03
15,10,10,2.599678e+03
15,10,20,2.560622e+03
15,10,30,1.680601e+03
15,10,40,5.013952e+02
15,10,50,3.104910e+02
15,10,60,2.321225e+02
15,10,70,1.277031e+02
15,10,80,5.527224e+01
15,10,90,4.797533e+01
15,10,100,2.476742e+01
15,10,1,2.216768e+05
15,10,2,3.146360e+04
15,10,3,1.762584e+04
15,10,5,1.762190e+04
15,10,10,1.760905e+04
15,10,20,1.756137e+04
15,10,30,3.731065e+03
15,10,40,1.089642e+03
15,10,50,2.565838e+02
15,10,60,2.565838e+02
15,10,70,1.574872e+02
15,10,80,1.174520e+02
15,10,90,5.174307e+01
15,10,100,5.006566e+01
15,10,1,1.506541e+05
15,10,2,4.608274e+04
15,10,3,6.266555e+02
15,10,5,6.262031e+02
15,10,10,6.236124e+02
15,10,20,6.223576e+02
15,10,30,6.223576e+02
15,10,40,5.903246e+02
15,10,50,3.999365e+02
15,10,60,2.605121e+02
15,10,70,1.778267e+02
15,10,80,9.687757e+01
15,10,90,5.444850e+01
15,10,100,4.981136e+01
15,10,1,1.636151e+05
15,10,2,1.636151e+05
15,10,3,1.511483e+04
15,10,5,1.504285e+04
15,10,10,1.480647e+04
15,10,20,1.008758e+04
15,10,30,2.577755e+03
15,10,40,1.882176e+03
15,10,50,6.927877e+02
15,10,60,4.793055e+02
15,10,70,1.809420e+02
15,10,80,8.597489e+01
15,10,90,8.084835e+01
15,10,100,6.869568e+01
15,10,1,3.487524e+04
15,10,2,3.487524e+04
15,10,3,2.769331e+04
15,10,5,6.888879e+03
15,10,10,6.875066e+03
15,10,20,6.805934e+03
15,10,30,2.876291e+03
15,10,40,1.120140e+03
15,10,50,5.536662e+02
15,10,60,3.976558e+02
15,10,70,2.022935e+02
15,10,80,5.364690e+01
15,10,90,5.364690e+01
15,10,100,4.890970e+01
15,10,1,7.155064e+04
15,10,2,2.150699e+04
15,10,3,1.527890e+04
15,10,5,1.524906e+04
15,10,10,1.514107e+04
15,10,20,1.484507e+04
15,10,30,6.853344e+02
15,10,40,6.841099e+02
15,10,50,3.305803e+02
15,10,60,3.305803e+02
15,10,70,1.616249e+02
15,10,80,1.051168e+02
15,10,90,8.081963e+01
15,10,100,6.444640e+01
