funcid,dim,milestone,error
5,50,1,5.682776e+02
5,50,2,4.565738e+02
5,50,3,4.339313e+02
5,50,5,4.298614e+02
5,50,10,4.298174e+02
5,50,20,4.298174e+02
5,50,30,4.298174e+02
5,50,40,4.298174e+02
5,50,50,4.298174e+02
5,50,60,4.298174e+02
5,50,70,4.298174e+02
5,50,80,4.298174e+02
5,50,90,4.124935e+02
5,50,100,4.124935e+02
5,50,1,6.578008e+02
5,50,2,5.493045e+02
5,50,3,4.539265e+02
5,50,5,3.744862e+02
5,50,10,3.721177e+02
5,50,20,3.721177e+02
5,50,30,3.721177e+02
5,50,40,3.721177e+02
5,50,50,3.721177e+02
5,50,60,3.721177e+02
5,50,70,3.721177e+02
5,50,80,3.721177e+02
5,50,90,3.721177e+02
5,50,100,3.721116e+02
5,50,1,6.564865e+02
5,50,2,5.023569e+02
5,50,3,4.624804e+02
5,50,5,4.424398e+02
5,50,10,4.367982e+02
5,50,20,4.367982e+02
5,50,30,4.367982e+02
5,50,40,4.367982e+02
5,50,50,4.367982e+02
5,50,60,4.367982e+02
5,50,70,4.367982e+02
5,50,80,4.367982e+02
5,50,90,4.367982e+02
5,50,100,4.367832e+02
5,50,1,5.623837e+02
5,50,2,4.122780e+02
5,50,3,3.838141e+02
5,50,5,3.801278e+02
5,50,10,3.800703e+02
5,50,20,3.800703e+02
5,50,30,3.800703e+02
5,50,40,3.800703e+02
5,50,50,3.800703e+02
5,50,60,3.800703e+02
5,50,70,3.800703e+02
5,50,80,3.800703e+02
5,50,90,3.800703e+02
5,50,100,3.800700e+02
5,50,1,4.983522e+02
5,50,2,4.094031e+02
5,50,3,3.974529e+02
5,50,5,3.960150e+02
5,50,10,3.959898e+02
5,50,20,3.959898e+02
5,50,30,3.959898e+02
5,50,40,3.959898e+02
5,50,50,3.959898e+02
5,50,60,3.959898e+02
5,50,70,3.959898e+02
5,50,80,3.959898e+02
5,50,90,3.959898e+02
5,50,100,3.959897e+02
5,50,1,6.319243e+02
5,50,2,5.085566e+02
5,50,3,4.594606e+02
5,50,5,4.459846e+02
5,50,10,4.457388e+02
5,50,20,4.457388e+02
5,50,30,4.457388e+02
5,50,40,4.457388e+02
5,50,50,4.457388e+02
5,50,60,4.387020e+02
5,50,70,4.280661e+02
5,50,80,4.280661e+02
5,50,90,4.280661e+02
5,50,100,4.280661e+02
5,50,1,6.466186e+02
5,50,2,5.048548e+02
5,50,3,4.453795e+02
5,50,5,4.268653e+02
5,50,10,4.169171e+02
5,50,20,4.169171e+02
5,50,30,4.169171e+02
5,50,40,4.169171e+02
5,50,50,4.169171e+02
5,50,60,4.169171e+02
5,50,70,4.169171e+02
5,50,80,4.169171e+02
5,50,90,4.169171e+02
5,50,100,4.168836e+02
5,50,1,5.148335e+02
5,50,2,3.965232e+02
5,50,3,3.739494e+02
5,50,5,3.692232e+02
5,50,10,3.691274e+02
5,50,20,3.691274e+02
5,50,30,3.691274e+02
5,50,40,3.691274e+02
5,50,50,3.691274e+02
5,50,60,3.691274e+02
5,50,70,3.691274e+02
5,50,80,3.691274e+02
5,50,90,3.691274e+02
5,50,100,3.691272e+02
5,50,1,6.185944e+02
5,50,2,4.947590e+02
5,50,3,4.704308e+02
5,50,5,4.657587e+02
5,50,10,4.656355e+02
5,50,20,4.656355e+02
5,50,30,4.656355e+02
5,50,40,4.656355e+02
5,50,50,4.656355e+02
5,50,60,4.656355e+02
5,50,70,4.206686e+02
5,50,80,4.206686e+02
5,50,90,4.206686e+02
5,50,100,4.206686e+02
5,50,1,5.888557e+02
5,50,2,4.768756e+02
5,50,3,4.462428e+02
5,50,5,4.282642e+02
5,50,10,4.278292e+02
5,50,20,4.278292e+02
5,50,30,4.278292e+02
5,50,40,4.278292e+02
5,50,50,4.278292e+02
5,50,60,4.278292e+02
5,50,70,4.278292e+02
5,50,80,4.278292e+02
5,50,90,4.278292e+02
5,50,100,4.278278e+02
