funcid,dim,milestone,error
17,50,1,3.556310e+03
17,50,2,3.257331e+03
17,50,3,2.532536e+03
17,50,5,2.504218e+03
17,50,10,2.469424e+03
17,50,20,2.469424e+03
17,50,30,2.469424e+03
17,50,40,2.469424e+03
17,50,50,2.469424e+03
17,50,60,2.469424e+03
17,50,70,2.469424e+03
17,50,80,2.469424e+03
17,50,90,2.469424e+03
17,50,100,2.469418e+03
17,50,1,2.218526e+03
17,50,2,2.084719e+03
17,50,3,2.083944e+03
17,50,5,2.082892e+03
17,50,10,2.065476e+03
17,50,20,2.065476e+03
17,50,30,2.065476e+03
17,50,40,2.065476e+03
17,50,50,2.065476e+03
17,50,60,2.065476e+03
17,50,70,2.065476e+03
17,50,80,2.065476e+03
17,50,90,2.065476e+03
17,50,100,2.065473e+03
17,50,1,2.568280e+03
17,50,2,2.558380e+03
17,50,3,2.507889e+03
17,50,5,2.499102e+03
17,50,10,2.491796e+03
17,50,20,2.491796e+03
17,50,30,2.491796e+03
17,50,40,2.491796e+03
17,50,50,2.491796e+03
17,50,60,2.491796e+03
17,50,70,2.491796e+03
17,50,80,2.491796e+03
17,50,90,2.491796e+03
17,50,100,2.491518e+03
17,50,1,2.798687e+03
17,50,2,2.738923e+03
17,50,3,2.566846e+03
17,50,5,2.526871e+03
17,50,10,2.468632e+03
17,50,20,2.468632e+03
17,50,30,2.468632e+03
17,50,40,2.468632e+03
17,50,50,2.468632e+03
17,50,60,2.468632e+03
17,50,70,2.468632e+03
17,50,80,2.468632e+03
17,50,90,2.468632e+03
17,50,100,2.465645e+03
17,50,1,3.618525e+03
17,50,2,3.404404e+03
17,50,3,3.344759e+03
17,50,5,2.992559e+03
17,50,10,2.829955e+03
17,50,20,2.829955e+03
17,50,30,2.829955e+03
17,50,40,2.829955e+03
17,50,50,2.829955e+03
17,50,60,2.829955e+03
17,50,70,2.668761e+03
17,50,80,2.380311e+03
17,50,90,2.380311e+03
17,50,100,2.380311e+03
17,50,1,2.854344e+03
17,50,2,2.834896e+03
17,50,3,2.820258e+03
17,50,5,2.768465e+03
17,50,10,2.669790e+03
17,50,20,2.669790e+03
17,50,30,2.669790e+03
17,50,40,2.669790e+03
17,50,50,2.669790e+03
17,50,60,2.669790e+03
17,50,70,2.669790e+03
17,50,80,2.669790e+03
17,50,90,2.669790e+03
17,50,100,2.539522e+03
17,50,1,2.816290e+03
17,50,2,2.366882e+03
17,50,3,2.366339e+03
17,50,5,2.365224e+03
17,50,10,2.365224e+03
17,50,20,2.365224e+03
17,50,30,2.365224e+03
17,50,40,2.365224e+03
17,50,50,2.365224e+03
17,50,60,2.365224e+03
17,50,70,2.365224e+03
17,50,80,2.365224e+03
17,50,90,1.586801e+03
17,50,100,1.509537e+03
17,50,1,2.694109e+03
17,50,2,2.591673e+03
17,50,3,2.440338e+03
17,50,5,2.426084e+03
17,50,10,2.420390e+03
17,50,20,2.420390e+03
17,50,30,2.420390e+03
17,50,40,2.420390e+03
17,50,50,1.977488e+03
17,50,60,1.977488e+03
17,50,70,1.977488e+03
17,50,80,1.977488e+03
17,50,90,1.977488e+03
17,50,100,1.966447e+03
17,50,1,2.671255e+03
17,50,2,2.381664e+03
17,50,3,2.283097e+03
17,50,5,2.238184e+03
17,50,10,2.237873e+03
17,50,20,2.237873e+03
17,50,30,2.237873e+03
17,50,40,2.237873e+03
17,50,50,2.237873e+03
17,50,60,2.237873e+03
17,50,70,2.237873e+03
17,50,80,2.237873e+03
17,50,90,2.237873e+03
17,50,100,2.237676e+03
17,50,1,3.411010e+03
17,50,2,2.863219e+03
17,50,3,2.863111e+03
17,50,5,2.862874e+03
17,50,10,2.862686e+03
17,50,20,2.862686e+03
17,50,30,2.862686e+03
17,50,40,2.862686e+03
17,50,50,2.862686e+03
17,50,60,2.862686e+03
17,50,70,2.629191e+03
17,50,80,2.629191e+03
17,50,90,2.629191e+03
17,50,100,2.629191e+03
