funcid,dim,milestone,error
20,30,1,7.007134e+02
20,30,2,6.984726e+02
20,30,3,6.251878e+02
20,30,5,6.185754e+02
20,30,10,6.177808e+02
20,30,20,5.841297e+02
20,30,30,5.841297e+02
20,30,40,5.841297e+02
20,30,50,5.515823e+02
20,30,60,5.515823e+02
20,30,70,5.515823e+02
20,30,80,5.515823e+02
20,30,90,5.515823e+02
20,30,100,5.515823e+02
20,30,1,1.096349e+03
20,30,2,8.909277e+02
20,30,3,8.909277e+02
20,30,5,8.909207e+02
20,30,10,8.893742e+02
20,30,20,8.893742e+02
20,30,30,8.893742e+02
20,30,40,8.647085e+02
20,30,50,8.647085e+02
20,30,60,8.351280e+02
20,30,70,8.073938e+02
20,30,80,8.073938e+02
20,30,90,7.283562e+02
20,30,100,6.176978e+02
20,30,1,8.451138e+02
20,30,2,8.411706e+02
20,30,3,8.392675e+02
20,30,5,8.369359e+02
20,30,10,8.243517e+02
20,30,20,8.243517e+02
20,30,30,8.243517e+02
20,30,40,8.243517e+02
20,30,50,8.243517e+02
20,30,60,7.341955e+02
20,30,70,7.341955e+02
20,30,80,7.341955e+02
20,30,90,7.341955e+02
20,30,100,7.063637e+02
20,30,1,1.084236e+03
20,30,2,9.943847e+02
20,30,3,9.942488e+02
20,30,5,9.942211e+02
20,30,10,9.928247e+02
20,30,20,9.679512e+02
20,30,30,9.130872e+02
20,30,40,8.024801e+02
20,30,50,8.024801e+02
20,30,60,8.024801e+02
20,30,70,8.024801e+02
20,30,80,7.707053e+02
20,30,90,6.892707e+02
20,30,100,6.892707e+02
20,30,1,8.168611e+02
20,30,2,6.409748e+02
20,30,3,6.398375e+02
20,30,5,6.398375e+02
20,30,10,6.305639e+02
20,30,20,6.305639e+02
20,30,30,6.305639e+02
20,30,40,6.305639e+02
20,30,50,6.305639e+02
20,30,60,6.305639e+02
20,30,70,6.305639e+02
20,30,80,6.305639e+02
20,30,90,6.305639e+02
20,30,100,6.305639e+02
20,30,1,7.479868e+02
20,30,2,6.589031e+02
20,30,3,6.566669e+02
20,30,5,6.506922e+02
20,30,10,6.452257e+02
20,30,20,6.452257e+02
20,30,30,6.452257e+02
20,30,40,6.452257e+02
20,30,50,6.452257e+02
20,30,60,6.452257e+02
20,30,70,6.208098e+02
20,30,80,6.208098e+02
20,30,90,6.125875e+02
20,30,100,6.125875e+02
20,30,1,1.046535e+03
20,30,2,5.568003e+02
20,30,3,5.564682e+02
20,30,5,5.529317e+02
20,30,10,5.515754e+02
20,30,20,5.515754e+02
20,30,30,5.515754e+02
20,30,40,5.515754e+02
20,30,50,5.515754e+02
20,30,60,5.332968e+02
20,30,70,5.332968e+02
20,30,80,5.332968e+02
20,30,90,5.332968e+02
20,30,100,4.604587e+02
20,30,1,7.959848e+02
20,30,2,4.271763e+02
20,30,3,4.248053e+02
20,30,5,4.226669e+02
20,30,10,4.155714e+02
20,30,20,4.155714e+02
20,30,30,4.155714e+02
20,30,40,4.155714e+02
20,30,50,4.155714e+02
20,30,60,4.155714e+02
20,30,70,4.155714e+02
20,30,80,4.155714e+02
20,30,90,4.155714e+02
20,30,100,4.155409e+02
20,30,1,4.552288e+02
20,30,2,4.503606e+02
20,30,3,4.497309e+02
20,30,5,4.488056e+02
20,30,10,4.445669e+02
20,30,20,4.445669e+02
20,30,30,4.445669e+02
20,30,40,4.445669e+02
20,30,50,4.445669e+02
20,30,60,4.445669e+02
20,30,70,4.445669e+02
20,30,80,4.445669e+02
20,30,90,4.445669e+02
20,30,100,4.438931e+02
20,30,1,1.038024e+03
20,30,2,7.023075e+02
20,30,3,7.021238e+02
20,30,5,6.685514e+02
20,30,10,6.673667e+02
20,30,20,6.673667e+02
20,30,30,6.673667e+02
20,30,40,6.673667e+02
20,30,50,6.673667e+02
20,30,60,6.110666e+02
20,30,70,6.110666e+02
20,30,80,6.110666e+02
20,30,90,6.110666e+02
20,30,100,5.370830e+02
