funcid,dim,milestone,error
5,30,1,4.011881e+02
5,30,2,2.695184e+02
5,30,3,2.545118e+02
5,30,5,2.290974e+02
5,30,10,2.268489e+02
5,30,20,2.268489e+02
5,30,30,2.268489e+02
5,30,40,2.268489e+02
5,30,50,2.268489e+02
5,30,60,2.252681e+02
5,30,70,2.252681e+02
5,30,80,2.143669e+02
5,30,90,2.143669e+02
5,30,100,2.143669e+02
5,30,1,3.264288e+02
5,30,2,2.338586e+02
5,30,3,2.259226e+02
5,30,5,2.238699e+02
5,30,10,2.238639e+02
5,30,20,2.238639e+02
5,30,30,2.238639e+02
5,30,40,2.238639e+02
5,30,50,2.238639e+02
5,30,60,2.238639e+02
5,30,70,2.238639e+02
5,30,80,2.238639e+02
5,30,90,2.218236e+02
5,30,100,7.263181e+01
5,30,1,2.265938e+02
5,30,2,1.702802e+02
5,30,3,1.567298e+02
5,30,5,1.532468e+02
5,30,10,1.532224e+02
5,30,20,1.532224e+02
5,30,30,1.532224e+02
5,30,40,1.532224e+02
5,30,50,1.532224e+02
5,30,60,1.532224e+02
5,30,70,1.532224e+02
5,30,80,1.532224e+02
5,30,90,1.532224e+02
5,30,100,1.532224e+02
5,30,1,3.621563e+02
5,30,2,2.913503e+02
5,30,3,2.814996e+02
5,30,5,2.736996e+02
5,30,10,2.736110e+02
5,30,20,2.736110e+02
5,30,30,2.736110e+02
5,30,40,2.442541e+02
5,30,50,2.212700e+02
5,30,60,2.209938e+02
5,30,70,2.209938e+02
5,30,80,2.209938e+02
5,30,90,2.084092e+02
5,30,100,1.866590e+02
5,30,1,3.560092e+02
5,30,2,2.530120e+02
5,30,3,2.369067e+02
5,30,5,2.298737e+02
5,30,10,2.298339e+02
5,30,20,2.298339e+02
5,30,30,2.298339e+02
5,30,40,2.281288e+02
5,30,50,2.281288e+02
5,30,60,2.281288e+02
5,30,70,2.119803e+02
5,30,80,2.119803e+02
5,30,90,2.119803e+02
5,30,100,2.119803e+02
5,30,1,3.310783e+02
5,30,2,2.631235e+02
5,30,3,2.564524e+02
5,30,5,2.557039e+02
5,30,10,2.557021e+02
5,30,20,2.557021e+02
5,30,30,2.557021e+02
5,30,40,2.397817e+02
5,30,50,2.397817e+02
5,30,60,2.354528e+02
5,30,70,2.245890e+02
5,30,80,2.222127e+02
5,30,90,2.222127e+02
5,30,100,2.222127e+02
5,30,1,3.456935e+02
5,30,2,2.676341e+02
5,30,3,2.582769e+02
5,30,5,2.413398e+02
5,30,10,2.407778e+02
5,30,20,2.407778e+02
5,30,30,2.407778e+02
5,30,40,2.407778e+02
5,30,50,2.254103e+02
5,30,60,2.064238e+02
5,30,70,2.064238e+02
5,30,80,2.064238e+02
5,30,90,2.064238e+02
5,30,100,5.870249e+01
5,30,1,3.485997e+02
5,30,2,2.829250e+02
5,30,3,2.681470e+02
5,30,5,2.509312e+02
5,30,10,2.507278e+02
5,30,20,2.507278e+02
5,30,30,2.507278e+02
5,30,40,2.507278e+02
5,30,50,2.507278e+02
5,30,60,2.284463e+02
5,30,70,2.217542e+02
5,30,80,2.217542e+02
5,30,90,2.151860e+02
5,30,100,2.151860e+02
5,30,1,3.328835e+02
5,30,2,2.752618e+02
5,30,3,2.645947e+02
5,30,5,2.597453e+02
5,30,10,2.596814e+02
5,30,20,2.596814e+02
5,30,30,2.596814e+02
5,30,40,2.596814e+02
5,30,50,2.362837e+02
5,30,60,2.278146e+02
5,30,70,2.213371e+02
5,30,80,2.127434e+02
5,30,90,2.127434e+02
5,30,100,2.127434e+02
5,30,1,3.320474e+02
5,30,2,2.553334e+02
5,30,3,2.434198e+02
5,30,5,2.261490e+02
5,30,10,2.258536e+02
5,30,20,2.258536e+02
5,30,30,2.258536e+02
5,30,40,2.258536e+02
5,30,50,2.258536e+02
5,30,60,2.258536e+02
5,30,70,2.258536e+02
5,30,80,2.258536e+02
5,30,90,2.211244e+02
5,30,100,2.211244e+02
