funcid,dim,milestone,error
1,10,1,1.330442e+10
1,10,2,8.433320e+09
1,10,3,8.053283e+06
1,10,5,1.242644e+04
1,10,10,1.953765e+03
1,10,20,1.953685e+03
1,10,30,1.953685e+03
1,10,40,1.953685e+03
1,10,50,1.953685e+03
1,10,60,1.953685e+03
1,10,70,1.953685e+03
1,10,80,1.953685e+03
1,10,90,1.953685e+03
1,10,100,1.953526e+03
1,10,1,5.608806e+09
1,10,2,5.608806e+09
1,10,3,4.075866e+06
1,10,5,5.241171e+03
1,10,10,1.483892e+02
1,10,20,1.483838e+02
1,10,30,1.483838e+02
1,10,40,1.483838e+02
1,10,50,1.483838e+02
1,10,60,1.483838e+02
1,10,70,1.483838e+02
1,10,80,1.483838e+02
1,10,90,1.483838e+02
1,10,100,1.483732e+02
1,10,1,1.003676e+10
1,10,2,4.737730e+09
1,10,3,7.438837e+06
1,10,5,1.471029e+04
1,10,10,2.469046e+03
1,10,20,2.468946e+03
1,10,30,2.468946e+03
1,10,40,2.468946e+03
1,10,50,2.468946e+03
1,10,60,2.468946e+03
1,10,70,2.468946e+03
1,10,80,2.468946e+03
1,10,90,2.468946e+03
1,10,100,2.468757e+03
1,10,1,9.413083e+09
1,10,2,9.413083e+09
1,10,3,6.488071e+07
1,10,5,5.933420e+03
1,10,10,2.267527e+00
1,10,20,2.267415e+00
1,10,30,2.267415e+00
1,10,40,2.267415e+00
1,10,50,2.267415e+00
1,10,60,2.267415e+00
1,10,70,2.267415e+00
1,10,80,2.267415e+00
1,10,90,2.267415e+00
1,10,100,2.267255e+00
1,10,1,9.557679e+09
1,10,2,9.557679e+09
1,10,3,1.289731e+07
1,10,5,2.224825e+04
1,10,10,8.875321e+02
1,10,20,8.874964e+02
1,10,30,8.874964e+02
1,10,40,8.874964e+02
1,10,50,8.874964e+02
1,10,60,8.874964e+02
1,10,70,8.874964e+02
1,10,80,8.874964e+02
1,10,90,8.874964e+02
1,10,100,8.874332e+02
1,10,1,8.375053e+09
1,10,2,8.089297e+09
1,10,3,1.603412e+07
1,10,5,3.127174e+03
1,10,10,2.040932e+01
1,10,20,2.040859e+01
1,10,30,2.040859e+01
1,10,40,2.040859e+01
1,10,50,2.040859e+01
1,10,60,2.040859e+01
1,10,70,2.040859e+01
1,10,80,2.040859e+01
1,10,90,2.040859e+01
1,10,100,2.040713e+01
1,10,1,6.057183e+09
1,10,2,6.057183e+09
1,10,3,1.658845e+06
1,10,5,2.761394e+03
1,10,10,5.116545e+00
1,10,20,5.116377e+00
1,10,30,5.116377e+00
1,10,40,5.116377e+00
1,10,50,5.116377e+00
1,10,60,5.116377e+00
1,10,70,5.116377e+00
1,10,80,5.116377e+00
1,10,90,5.116377e+00
1,10,100,5.115988e+00
1,10,1,5.176520e+09
1,10,2,5.176520e+09
1,10,3,7.138428e+06
1,10,5,5.868538e+03
1,10,10,3.589076e+03
1,10,20,3.588946e+03
1,10,30,3.588946e+03
1,10,40,3.588946e+03
1,10,50,3.588946e+03
1,10,60,3.588946e+03
1,10,70,3.588946e+03
1,10,80,3.588946e+03
1,10,90,3.588946e+03
1,10,100,3.588679e+03
1,10,1,9.563732e+09
1,10,2,7.809018e+09
1,10,3,9.605962e+06
1,10,5,1.665791e+03
1,10,10,3.394772e+01
1,10,20,3.394657e+01
1,10,30,3.394657e+01
1,10,40,3.394657e+01
1,10,50,3.394657e+01
1,10,60,3.394657e+01
1,10,70,3.394657e+01
1,10,80,3.394657e+01
1,10,90,3.394657e+01
1,10,100,3.394415e+01
1,10,1,6.857206e+09
1,10,2,6.857206e+09
1,10,3,4.776645e+06
1,10,5,5.527409e+03
1,10,10,4.258184e+03
1,10,20,4.258025e+03
1,10,30,4.258025e+03
1,10,40,4.258025e+03
1,10,50,4.258025e+03
1,10,60,4.258025e+03
1,10,70,4.258025e+03
1,10,80,4.258025e+03
1,10,90,4.258025e+03
1,10,100,4.257723e+03
