funcid,dim,milestone,error
25,10,1,9.302493e+02
25,10,2,8.085508e+02
25,10,3,4.496692e+02
25,10,5,4.478333e+02
25,10,10,4.435228e+02
25,10,20,4.393882e+02
25,10,30,4.393882e+02
25,10,40,4.393882e+02
25,10,50,4.393882e+02
25,10,60,4.393882e+02
25,10,70,4.393882e+02
25,10,80,4.393882e+02
25,10,90,4.393882e+02
25,10,100,4.393882e+02
25,10,1,1.353382e+03
25,10,2,1.022754e+03
25,10,3,4.632024e+02
25,10,5,4.560414e+02
25,10,10,3.996888e+02
25,10,20,3.996100e+02
25,10,30,3.996100e+02
25,10,40,3.996100e+02
25,10,50,3.996100e+02
25,10,60,3.996100e+02
25,10,70,3.996100e+02
25,10,80,3.996100e+02
25,10,90,3.996100e+02
25,10,100,3.996100e+02
25,10,1,7.403553e+02
25,10,2,7.403553e+02
25,10,3,4.634013e+02
25,10,5,4.619284e+02
25,10,10,4.100940e+02
25,10,20,4.100810e+02
25,10,30,4.100810e+02
25,10,40,4.100810e+02
25,10,50,4.100810e+02
25,10,60,4.100810e+02
25,10,70,4.100810e+02
25,10,80,4.100810e+02
25,10,90,4.100810e+02
25,10,100,4.100810e+02
25,10,1,1.179585e+03
25,10,2,1.075202e+03
25,10,3,4.843236e+02
25,10,5,4.515381e+02
25,10,10,4.515381e+02
25,10,20,4.515381e+02
25,10,30,4.515381e+02
25,10,40,4.515381e+02
25,10,50,4.515381e+02
25,10,60,4.515381e+02
25,10,70,4.515381e+02
25,10,80,4.438551e+02
25,10,90,4.438551e+02
25,10,100,3.979379e+02
25,10,1,9.033572e+02
25,10,2,9.033572e+02
25,10,3,4.591475e+02
25,10,5,4.579941e+02
25,10,10,4.182036e+02
25,10,20,4.009509e+02
25,10,30,4.009509e+02
25,10,40,4.009509e+02
25,10,50,4.009509e+02
25,10,60,4.009509e+02
25,10,70,4.009509e+02
25,10,80,4.009509e+02
25,10,90,4.009509e+02
25,10,100,3.998257e+02
25,10,1,1.212842e+03
25,10,2,8.235833e+02
25,10,3,4.798013e+02
25,10,5,4.533294e+02
25,10,10,4.520987e+02
25,10,20,4.001147e+02
25,10,30,4.001147e+02
25,10,40,4.001147e+02
25,10,50,4.001147e+02
25,10,60,4.001147e+02
25,10,70,4.001147e+02
25,10,80,4.001147e+02
25,10,90,4.001147e+02
25,10,100,3.996104e+02
25,10,1,1.119236e+03
25,10,2,8.346726e+02
25,10,3,4.679962e+02
25,10,5,4.579426e+02
25,10,10,4.121383e+02
25,10,20,4.006443e+02
25,10,30,4.006443e+02
25,10,40,4.006443e+02
25,10,50,4.006443e+02
25,10,60,4.006443e+02
25,10,70,4.006443e+02
25,10,80,4.006443e+02
25,10,90,4.006443e+02
25,10,100,3.995983e+02
25,10,1,1.017465e+03
25,10,2,8.176779e+02
25,10,3,4.557292e+02
25,10,5,4.540999e+02
25,10,10,4.342789e+02
25,10,20,1.016367e+02
25,10,30,1.016367e+02
25,10,40,1.016367e+02
25,10,50,1.016367e+02
25,10,60,1.016367e+02
25,10,70,1.016367e+02
25,10,80,1.016367e+02
25,10,90,1.016367e+02
25,10,100,1.016367e+02
25,10,1,8.582162e+02
25,10,2,8.582162e+02
25,10,3,4.706231e+02
25,10,5,4.603439e+02
25,10,10,4.304879e+02
25,10,20,3.980061e+02
25,10,30,3.980061e+02
25,10,40,3.980061e+02
25,10,50,3.980061e+02
25,10,60,3.980061e+02
25,10,70,3.980061e+02
25,10,80,3.980061e+02
25,10,90,3.980061e+02
25,10,100,3.980061e+02
25,10,1,1.086674e+03
25,10,2,8.918530e+02
25,10,3,4.533109e+02
25,10,5,4.519761e+02
25,10,10,4.008669e+02
25,10,20,3.996893e+02
25,10,30,3.996893e+02
25,10,40,3.996893e+02
25,10,50,3.996893e+02
25,10,60,3.996893e+02
25,10,70,3.996893e+02
25,10,80,3.996893e+02
25,10,90,3.996893e+02
25,10,100,3.996100e+02
