funcid,dim,milestone,error
24,30,1,1.189211e+03
24,30,2,1.121820e+03
24,30,3,1.116539e+03
24,30,5,1.097063e+03
24,30,10,1.089732e+03
24,30,20,8.202211e+02
24,30,30,7.741092e+02
24,30,40,7.141780e+02
24,30,50,6.801659e+02
24,30,60,6.801659e+02
24,30,70,6.718018e+02
24,30,80,6.718018e+02
24,30,90,6.607531e+02
24,30,100,6.577025e+02
24,30,1,1.124951e+03
24,30,2,1.012506e+03
24,30,3,1.000730e+03
24,30,5,9.990680e+02
24,30,10,9.990673e+02
24,30,20,8.637049e+02
24,30,30,7.563412e+02
24,30,40,7.000449e+02
24,30,50,6.877270e+02
24,30,60,6.629706e+02
24,30,70,6.629706e+02
24,30,80,6.629706e+02
24,30,90,6.629706e+02
24,30,100,6.629706e+02
24,30,1,1.170313e+03
24,30,2,1.034216e+03
24,30,3,1.026816e+03
24,30,5,1.026368e+03
24,30,10,1.026368e+03
24,30,20,8.769952e+02
24,30,30,7.519869e+02
24,30,40,6.998803e+02
24,30,50,6.823319e+02
24,30,60,6.823319e+02
24,30,70,6.772290e+02
24,30,80,6.386633e+02
24,30,90,6.386633e+02
24,30,100,6.386633e+02
24,30,1,1.189733e+03
24,30,2,1.107710e+03
24,30,3,1.102648e+03
24,30,5,8.506418e+02
24,30,10,8.460073e+02
24,30,20,8.460073e+02
24,30,30,7.671798e+02
24,30,40,7.079081e+02
24,30,50,6.890401e+02
24,30,60,6.890401e+02
24,30,70,6.747975e+02
24,30,80,6.620009e+02
24,30,90,6.387697e+02
24,30,100,6.387697e+02
24,30,1,1.159693e+03
24,30,2,9.595060e+02
24,30,3,9.538321e+02
24,30,5,9.533442e+02
24,30,10,8.054715e+02
24,30,20,8.054715e+02
24,30,30,7.439387e+02
24,30,40,6.993237e+02
24,30,50,6.993237e+02
24,30,60,6.922245e+02
24,30,70,6.813112e+02
24,30,80,6.589298e+02
24,30,90,6.525524e+02
24,30,100,6.525524e+02
24,30,1,1.046980e+03
24,30,2,9.510825e+02
24,30,3,9.456605e+02
24,30,5,9.429087e+02
24,30,10,9.412268e+02
24,30,20,8.554199e+02
24,30,30,7.429023e+02
24,30,40,6.791710e+02
24,30,50,6.648563e+02
24,30,60,6.585309e+02
24,30,70,6.585309e+02
24,30,80,6.585309e+02
24,30,90,6.585309e+02
24,30,100,6.463229e+02
24,30,1,1.185246e+03
24,30,2,1.031899e+03
24,30,3,1.005912e+03
24,30,5,1.003972e+03
24,30,10,9.665127e+02
24,30,20,8.387275e+02
24,30,30,7.181593e+02
24,30,40,7.069004e+02
24,30,50,6.950390e+02
24,30,60,6.425448e+02
24,30,70,6.425448e+02
24,30,80,6.425448e+02
24,30,90,6.292073e+02
24,30,100,6.292073e+02
24,30,1,1.235555e+03
24,30,2,1.115728e+03
24,30,3,1.094806e+03
24,30,5,1.092088e+03
24,30,10,9.933458e+02
24,30,20,8.811750e+02
24,30,30,7.628652e+02
24,30,40,7.321155e+02
24,30,50,6.969306e+02
24,30,60,6.769409e+02
24,30,70,6.724118e+02
24,30,80,6.724118e+02
24,30,90,6.605456e+02
24,30,100,6.183399e+02
24,30,1,9.992735e+02
24,30,2,9.465840e+02
24,30,3,9.422189e+02
24,30,5,9.399100e+02
24,30,10,8.874203e+02
24,30,20,8.685044e+02
24,30,30,7.662147e+02
24,30,40,7.352724e+02
24,30,50,6.884512e+02
24,30,60,6.802552e+02
24,30,70,6.802552e+02
24,30,80,6.800837e+02
24,30,90,6.351251e+02
24,30,100,6.351251e+02
24,30,1,1.261050e+03
24,30,2,1.158589e+03
24,30,3,1.156022e+03
24,30,5,1.154399e+03
24,30,10,1.152953e+03
24,30,20,8.491671e+02
24,30,30,7.442076e+02
24,30,40,7.048693e+02
24,30,50,6.964969e+02
24,30,60,6.659591e+02
24,30,70,6.659591e+02
24,30,80,6.547848e+02
24,30,90,6.431419e+02
24,30,100,6.431419e+02
