funcid,dim,milestone,error
21,30,1,5.427797e+02
21,30,2,4.254283e+02
21,30,3,4.099581e+02
21,30,5,4.059454e+02
21,30,10,4.027990e+02
21,30,20,4.027990e+02
21,30,30,4.027990e+02
21,30,40,4.027990e+02
21,30,50,4.027990e+02
21,30,60,4.027990e+02
21,30,70,4.027990e+02
21,30,80,4.027990e+02
21,30,90,4.027990e+02
21,30,100,3.981648e+02
21,30,1,5.008091e+02
21,30,2,4.090242e+02
21,30,3,3.822438e+02
21,30,5,3.784759e+02
21,30,10,3.771336e+02
21,30,20,3.771336e+02
21,30,30,3.771336e+02
21,30,40,3.771336e+02
21,30,50,3.771336e+02
21,30,60,3.771336e+02
21,30,70,3.771336e+02
21,30,80,3.771336e+02
21,30,90,3.771336e+02
21,30,100,3.757666e+02
21,30,1,5.126719e+02
21,30,2,4.608872e+02
21,30,3,4.593495e+02
21,30,5,4.530472e+02
21,30,10,4.494062e+02
21,30,20,4.494062e+02
21,30,30,4.494062e+02
21,30,40,4.494062e+02
21,30,50,4.397556e+02
21,30,60,4.397556e+02
21,30,70,4.361747e+02
21,30,80,4.361747e+02
21,30,90,4.233187e+02
21,30,100,3.878337e+02
21,30,1,5.587479e+02
21,30,2,4.626762e+02
21,30,3,4.593363e+02
21,30,5,4.514993e+02
21,30,10,4.458527e+02
21,30,20,4.458527e+02
21,30,30,4.458527e+02
21,30,40,4.458527e+02
21,30,50,4.072857e+02
21,30,60,4.072857e+02
21,30,70,4.072857e+02
21,30,80,4.072857e+02
21,30,90,4.072857e+02
21,30,100,4.072857e+02
21,30,1,4.809751e+02
21,30,2,4.223710e+02
21,30,3,4.195792e+02
21,30,5,4.188608e+02
21,30,10,4.181329e+02
21,30,20,4.181329e+02
21,30,30,4.181329e+02
21,30,40,4.181329e+02
21,30,50,4.181329e+02
21,30,60,4.181329e+02
21,30,70,3.593472e+02
21,30,80,3.593472e+02
21,30,90,3.593472e+02
21,30,100,3.593472e+02
21,30,1,4.933013e+02
21,30,2,4.062242e+02
21,30,3,3.922957e+02
21,30,5,3.879760e+02
21,30,10,3.826628e+02
21,30,20,3.826628e+02
21,30,30,3.826628e+02
21,30,40,3.826628e+02
21,30,50,3.826628e+02
21,30,60,3.826628e+02
21,30,70,3.826628e+02
21,30,80,3.826628e+02
21,30,90,3.826628e+02
21,30,100,3.787404e+02
21,30,1,5.374122e+02
21,30,2,4.368843e+02
21,30,3,4.309887e+02
21,30,5,4.301484e+02
21,30,10,4.295500e+02
21,30,20,4.295500e+02
21,30,30,4.295500e+02
21,30,40,4.295500e+02
21,30,50,4.295500e+02
21,30,60,4.295500e+02
21,30,70,4.042680e+02
21,30,80,4.042680e+02
21,30,90,4.042680e+02
21,30,100,4.042680e+02
21,30,1,5.416096e+02
21,30,2,4.743419e+02
21,30,3,4.720882e+02
21,30,5,4.568726e+02
21,30,10,4.533236e+02
21,30,20,4.533236e+02
21,30,30,4.533236e+02
21,30,40,4.533236e+02
21,30,50,4.439290e+02
21,30,60,4.391250e+02
21,30,70,4.272724e+02
21,30,80,4.205997e+02
21,30,90,4.099002e+02
21,30,100,4.099002e+02
21,30,1,5.356539e+02
21,30,2,3.976127e+02
21,30,3,3.942201e+02
21,30,5,3.938525e+02
21,30,10,3.936432e+02
21,30,20,3.936432e+02
21,30,30,3.936432e+02
21,30,40,3.936432e+02
21,30,50,3.936432e+02
21,30,60,3.936432e+02
21,30,70,3.936432e+02
21,30,80,3.936432e+02
21,30,90,3.936432e+02
21,30,100,3.929835e+02
21,30,1,5.575724e+02
21,30,2,4.318486e+02
21,30,3,4.260915e+02
21,30,5,4.211768e+02
21,30,10,4.151225e+02
21,30,20,4.151225e+02
21,30,30,4.151225e+02
21,30,40,4.151225e+02
21,30,50,4.151225e+02
21,30,60,4.151225e+02
21,30,70,4.151225e+02
21,30,80,4.062360e+02
21,30,90,4.062360e+02
21,30,100,2.508313e+02
