funcid,dim,milestone,error
30,10,1,2.780636e+07
30,10,2,2.780636e+07
30,10,3,9.561025e+06
30,10,5,5.724207e+06
30,10,10,3.599365e+06
30,10,20,3.134515e+06
30,10,30,1.295005e+05
30,10,40,1.067364e+05
30,10,50,7.022040e+03
30,10,60,7.022040e+03
30,10,70,7.021794e+03
30,10,80,6.315853e+03
30,10,90,5.239365e+03
30,10,100,5.239365e+03
30,10,1,9.720795e+06
30,10,2,6.186357e+06
30,10,3,1.433740e+06
30,10,5,7.570107e+04
30,10,10,5.119833e+04
30,10,20,3.224641e+04
30,10,30,3.224641e+04
30,10,40,3.224641e+04
30,10,50,6.692646e+03
30,10,60,6.692646e+03
30,10,70,8.072467e+02
30,10,80,8.072467e+02
30,10,90,8.072467e+02
30,10,100,8.072467e+02
30,10,1,5.724901e+07
30,10,2,1.545677e+06
30,10,3,3.033517e+05
30,10,5,2.793487e+05
30,10,10,2.584638e+05
30,10,20,1.967707e+05
30,10,30,2.493722e+04
30,10,40,1.241172e+04
30,10,50,1.843210e+03
30,10,60,1.843210e+03
30,10,70,1.843210e+03
30,10,80,1.843210e+03
30,10,90,1.843210e+03
30,10,100,1.843210e+03
30,10,1,1.336419e+07
30,10,2,1.336419e+07
30,10,3,2.513911e+06
30,10,5,1.840047e+06
30,10,10,9.456514e+05
30,10,20,4.222215e+05
30,10,30,3.398513e+04
30,10,40,1.917096e+03
30,10,50,8.375949e+02
30,10,60,8.375949e+02
30,10,70,8.375949e+02
30,10,80,8.375949e+02
30,10,90,8.375949e+02
30,10,100,8.375949e+02
30,10,1,2.648078e+07
30,10,2,2.363658e+07
30,10,3,2.060711e+06
30,10,5,1.076472e+06
30,10,10,8.963132e+05
30,10,20,8.294257e+05
30,10,30,3.054691e+05
30,10,40,5.498036e+04
30,10,50,2.365669e+04
30,10,60,5.123537e+03
30,10,70,4.765552e+03
30,10,80,4.765552e+03
30,10,90,4.765552e+03
30,10,100,4.765552e+03
30,10,1,2.723295e+07
30,10,2,2.302662e+07
30,10,3,5.267628e+06
30,10,5,2.622451e+05
30,10,10,1.419478e+05
30,10,20,9.459034e+04
30,10,30,9.459034e+04
30,10,40,5.587044e+03
30,10,50,5.587044e+03
30,10,60,5.587044e+03
30,10,70,4.256901e+03
30,10,80,4.256901e+03
30,10,90,4.256901e+03
30,10,100,4.256901e+03
30,10,1,2.713923e+07
30,10,2,8.403440e+06
30,10,3,7.480727e+05
30,10,5,5.712490e+05
30,10,10,4.516330e+05
30,10,20,2.753883e+05
30,10,30,5.490242e+04
30,10,40,3.256429e+04
30,10,50,2.338030e+04
30,10,60,6.208207e+03
30,10,70,2.759069e+03
30,10,80,2.712364e+03
30,10,90,2.631249e+03
30,10,100,2.630298e+03
30,10,1,3.977708e+07
30,10,2,3.890475e+07
30,10,3,7.277199e+05
30,10,5,4.811725e+05
30,10,10,2.449467e+05
30,10,20,1.184785e+05
30,10,30,8.127967e+04
30,10,40,7.722816e+04
30,10,50,9.360947e+02
30,10,60,9.360947e+02
30,10,70,9.360947e+02
30,10,80,9.360947e+02
30,10,90,9.360947e+02
30,10,100,9.360947e+02
30,10,1,1.743229e+07
30,10,2,8.333508e+06
30,10,3,1.130613e+06
30,10,5,2.833213e+05
30,10,10,1.678778e+05
30,10,20,9.984459e+04
30,10,30,9.195911e+04
30,10,40,3.269332e+04
30,10,50,8.486640e+03
30,10,60,2.132673e+03
30,10,70,2.132673e+03
30,10,80,2.132673e+03
30,10,90,2.132673e+03
30,10,100,2.132673e+03
30,10,1,1.513665e+07
30,10,2,1.513665e+07
30,10,3,4.634223e+06
30,10,5,4.623270e+06
30,10,10,4.458699e+06
30,10,20,4.093268e+06
30,10,30,1.223455e+05
30,10,40,1.223455e+05
30,10,50,1.349037e+04
30,10,60,1.349037e+04
30,10,70,1.349037e+04
30,10,80,4.670921e+03
30,10,90,4.670921e+03
30,10,100,2.957910e+03
