funcid,dim,milestone,error
20,50,1,1.206080e+03
20,50,2,1.197088e+03
20,50,3,1.174794e+03
20,50,5,1.172636e+03
20,50,10,1.158098e+03
20,50,20,1.105796e+03
20,50,30,1.100482e+03
20,50,40,1.097178e+03
20,50,50,1.094822e+03
20,50,60,1.092379e+03
20,50,70,1.089096e+03
20,50,80,1.087378e+03
20,50,90,1.085679e+03
20,50,100,1.084697e+03
20,50,1,1.328493e+03
20,50,2,1.324249e+03
20,50,3,1.318155e+03
20,50,5,1.317985e+03
20,50,10,1.315226e+03
20,50,20,1.305806e+03
20,50,30,1.303306e+03
20,50,40,1.300788e+03
20,50,50,1.297548e+03
20,50,60,1.296267e+03
20,50,70,1.293519e+03
20,50,80,1.292301e+03
20,50,90,1.292113e+03
20,50,100,1.290909e+03
20,50,1,1.356927e+03
20,50,2,1.318676e+03
20,50,3,1.301678e+03
20,50,5,1.297735e+03
20,50,10,1.284706e+03
20,50,20,1.272737e+03
20,50,30,1.262218e+03
20,50,40,1.248633e+03
20,50,50,1.244131e+03
20,50,60,1.242370e+03
20,50,70,1.240867e+03
20,50,80,1.239663e+03
20,50,90,1.237748e+03
20,50,100,1.236034e+03
20,50,1,1.290982e+03
20,50,2,1.200690e+03
20,50,3,1.200617e+03
20,50,5,1.171502e+03
20,50,10,1.144858e+03
20,50,20,1.117740e+03
20,50,30,1.072345e+03
20,50,40,1.061397e+03
20,50,50,1.060079e+03
20,50,60,1.059050e+03
20,50,70,1.058329e+03
20,50,80,1.053843e+03
20,50,90,1.052267e+03
20,50,100,1.051847e+03
20,50,1,1.476343e+03
20,50,2,1.437027e+03
20,50,3,1.434324e+03
20,50,5,1.434324e+03
20,50,10,1.434177e+03
20,50,20,1.430754e+03
20,50,30,1.423286e+03
20,50,40,1.422462e+03
20,50,50,1.422462e+03
20,50,60,1.422462e+03
20,50,70,1.422462e+03
20,50,80,1.422462e+03
20,50,90,1.422402e+03
20,50,100,1.422195e+03
20,50,1,1.430710e+03
20,50,2,1.363828e+03
20,50,3,1.338317e+03
20,50,5,1.303137e+03
20,50,10,1.293205e+03
20,50,20,1.290455e+03
20,50,30,1.288245e+03
20,50,40,1.284958e+03
20,50,50,1.283259e+03
20,50,60,1.281555e+03
20,50,70,1.279458e+03
20,50,80,1.279055e+03
20,50,90,1.277210e+03
20,50,100,1.277098e+03
20,50,1,1.566074e+03
20,50,2,1.530582e+03
20,50,3,1.529949e+03
20,50,5,1.519305e+03
20,50,10,1.495068e+03
20,50,20,1.494581e+03
20,50,30,1.494581e+03
20,50,40,1.494561e+03
20,50,50,1.494561e+03
20,50,60,1.494561e+03
20,50,70,1.494561e+03
20,50,80,1.494550e+03
20,50,90,1.494548e+03
20,50,100,1.494089e+03
20,50,1,1.542444e+03
20,50,2,1.536423e+03
20,50,3,1.524459e+03
20,50,5,1.516325e+03
20,50,10,1.500070e+03
20,50,20,1.492362e+03
20,50,30,1.486890e+03
20,50,40,1.486064e+03
20,50,50,1.486064e+03
20,50,60,1.483004e+03
20,50,70,1.482541e+03
20,50,80,1.482329e+03
20,50,90,1.481843e+03
20,50,100,1.481661e+03
20,50,1,1.403739e+03
20,50,2,1.338730e+03
20,50,3,1.331343e+03
20,50,5,1.326994e+03
20,50,10,1.317364e+03
20,50,20,1.314018e+03
20,50,30,1.313564e+03
20,50,40,1.312033e+03
20,50,50,1.311189e+03
20,50,60,1.311171e+03
20,50,70,1.310891e+03
20,50,80,1.309499e+03
20,50,90,1.306803e+03
20,50,100,1.306451e+03
20,50,1,1.433067e+03
20,50,2,1.235123e+03
20,50,3,1.225527e+03
20,50,5,1.224402e+03
20,50,10,1.223043e+03
20,50,20,1.216217e+03
20,50,30,1.214352e+03
20,50,40,1.211859e+03
20,50,50,1.210518e+03
20,50,60,1.209135e+03
20,50,70,1.208111e+03
20,50,80,1.206751e+03
20,50,90,1.204649e+03
20,50,100,1.202683e+03
