funcid,dim,milestone,error
19,30,1,1.165352e+08
19,30,2,6.935360e+05
19,30,3,6.884197e+05
19,30,5,6.710788e+05
19,30,10,6.331523e+05
19,30,20,5.630526e+05
19,30,30,5.137712e+05
19,30,40,4.692623e+05
19,30,50,4.407205e+05
19,30,60,4.148784e+05
19,30,70,3.932390e+05
19,30,80,3.739861e+05
19,30,90,3.564267e+05
19,30,100,3.389085e+05
19,30,1,4.677462e+07
19,30,2,1.505004e+06
19,30,3,1.452419e+06
19,30,5,1.317482e+06
19,30,10,1.096659e+06
19,30,20,7.680568e+05
19,30,30,5.860146e+05
19,30,40,4.201782e+04
19,30,50,4.153081e+04
19,30,60,4.101301e+04
19,30,70,4.053476e+04
19,30,80,4.001498e+04
19,30,90,3.954090e+04
19,30,100,3.911845e+04
19,30,1,1.992689e+06
19,30,2,3.896937e+05
19,30,3,3.866097e+05
19,30,5,3.793290e+05
19,30,10,3.630359e+05
19,30,20,3.363417e+05
19,30,30,3.143560e+05
19,30,40,2.973489e+05
19,30,50,2.839750e+05
19,30,60,2.738471e+05
19,30,70,2.638439e+05
19,30,80,2.552645e+05
19,30,90,2.477255e+05
19,30,100,2.405655e+05
19,30,1,4.070715e+07
19,30,2,3.982692e+05
19,30,3,3.957302e+05
19,30,5,3.875635e+05
19,30,10,3.703279e+05
19,30,20,3.387112e+05
19,30,30,9.662007e+04
19,30,40,9.416859e+04
19,30,50,9.234718e+04
19,30,60,9.060794e+04
19,30,70,8.892969e+04
19,30,80,8.721425e+04
19,30,90,8.563104e+04
19,30,100,8.411126e+04
19,30,1,3.585544e+08
19,30,2,1.040630e+07
19,30,3,8.926068e+06
19,30,5,6.475744e+06
19,30,10,3.720336e+06
19,30,20,1.893099e+06
19,30,30,1.264093e+06
19,30,40,9.590471e+05
19,30,50,8.074675e+05
19,30,60,6.880396e+05
19,30,70,6.076437e+05
19,30,80,5.454989e+05
19,30,90,4.954708e+05
19,30,100,4.537072e+05
19,30,1,7.076315e+07
19,30,2,1.810599e+07
19,30,3,1.450133e+07
19,30,5,8.531142e+06
19,30,10,3.146424e+06
19,30,20,1.267976e+06
19,30,30,6.293283e+04
19,30,40,6.008776e+04
19,30,50,5.803863e+04
19,30,60,5.616639e+04
19,30,70,5.427896e+04
19,30,80,5.260499e+04
19,30,90,5.102079e+04
19,30,100,4.954862e+04
19,30,1,1.170576e+08
19,30,2,1.358739e+05
19,30,3,1.354698e+05
19,30,5,1.338519e+05
19,30,10,1.300019e+05
19,30,20,1.230344e+05
19,30,30,1.165988e+05
19,30,40,1.108960e+05
19,30,50,1.067826e+05
19,30,60,1.027244e+05
19,30,70,9.918080e+04
19,30,80,9.579654e+04
19,30,90,9.263983e+04
19,30,100,8.955491e+04
19,30,1,6.929830e+07
19,30,2,4.241452e+05
19,30,3,4.194367e+05
19,30,5,4.082006e+05
19,30,10,3.788552e+05
19,30,20,3.279909e+05
19,30,30,2.143312e+05
19,30,40,2.026270e+05
19,30,50,1.941711e+05
19,30,60,1.862646e+05
19,30,70,1.789544e+05
19,30,80,1.725333e+05
19,30,90,1.658843e+05
19,30,100,1.606342e+05
19,30,1,1.278519e+07
19,30,2,7.287732e+06
19,30,3,6.632811e+06
19,30,5,5.268357e+06
19,30,10,3.632902e+06
19,30,20,2.270824e+06
19,30,30,1.692634e+06
19,30,40,1.330049e+06
19,30,50,1.142741e+06
19,30,60,9.927927e+05
19,30,70,8.749831e+05
19,30,80,7.836386e+05
19,30,90,7.028346e+05
19,30,100,6.380760e+05
19,30,1,1.368691e+06
19,30,2,1.247289e+06
19,30,3,1.229246e+06
19,30,5,1.169748e+06
19,30,10,1.043811e+06
19,30,20,8.434965e+05
19,30,30,7.127675e+05
19,30,40,6.119401e+05
19,30,50,5.467682e+05
19,30,60,4.988918e+05
19,30,70,4.551130e+05
19,30,80,4.190649e+05
19,30,90,3.860578e+05
19,30,100,3.583463e+05
