funcid,dim,milestone,error
23,50,1,1.996388e+03
23,50,2,1.859520e+03
23,50,3,1.822568e+03
23,50,5,1.798497e+03
23,50,10,1.798130e+03
23,50,20,1.738648e+03
23,50,30,1.727132e+03
23,50,40,1.721703e+03
23,50,50,1.716247e+03
23,50,60,1.714440e+03
23,50,70,1.711879e+03
23,50,80,1.710081e+03
23,50,90,1.708517e+03
23,50,100,1.707432e+03
23,50,1,1.986282e+03
23,50,2,1.787643e+03
23,50,3,1.753201e+03
23,50,5,1.724220e+03
23,50,10,1.718271e+03
23,50,20,1.640668e+03
23,50,30,1.626521e+03
23,50,40,1.621429e+03
23,50,50,1.620104e+03
23,50,60,1.617908e+03
23,50,70,1.616812e+03
23,50,80,1.616269e+03
23,50,90,1.615349e+03
23,50,100,1.615247e+03
23,50,1,1.740154e+03
23,50,2,1.661578e+03
23,50,3,1.565803e+03
23,50,5,1.526179e+03
23,50,10,1.504623e+03
23,50,20,1.483802e+03
23,50,30,1.477698e+03
23,50,40,1.476187e+03
23,50,50,1.475701e+03
23,50,60,1.475336e+03
23,50,70,1.474804e+03
23,50,80,1.473980e+03
23,50,90,1.473578e+03
23,50,100,1.473253e+03
23,50,1,1.871045e+03
23,50,2,1.734338e+03
23,50,3,1.709760e+03
23,50,5,1.692990e+03
23,50,10,1.670651e+03
23,50,20,1.552694e+03
23,50,30,1.548382e+03
23,50,40,1.547459e+03
23,50,50,1.546400e+03
23,50,60,1.545224e+03
23,50,70,1.545089e+03
23,50,80,1.544813e+03
23,50,90,1.542225e+03
23,50,100,1.542165e+03
23,50,1,1.687929e+03
23,50,2,1.598406e+03
23,50,3,1.559551e+03
23,50,5,1.541487e+03
23,50,10,1.517622e+03
23,50,20,1.511174e+03
23,50,30,1.508783e+03
23,50,40,1.506546e+03
23,50,50,1.505778e+03
23,50,60,1.505353e+03
23,50,70,1.505074e+03
23,50,80,1.504728e+03
23,50,90,1.504230e+03
23,50,100,1.504010e+03
23,50,1,1.770294e+03
23,50,2,1.683821e+03
23,50,3,1.634487e+03
23,50,5,1.601057e+03
23,50,10,1.588176e+03
23,50,20,1.582447e+03
23,50,30,1.575153e+03
23,50,40,1.550238e+03
23,50,50,1.544190e+03
23,50,60,1.542109e+03
23,50,70,1.537156e+03
23,50,80,1.528470e+03
23,50,90,1.525546e+03
23,50,100,1.522755e+03
23,50,1,1.913859e+03
23,50,2,1.823742e+03
23,50,3,1.786471e+03
23,50,5,1.782608e+03
23,50,10,1.777557e+03
23,50,20,1.768100e+03
23,50,30,1.753828e+03
23,50,40,1.748315e+03
23,50,50,1.743352e+03
23,50,60,1.740039e+03
23,50,70,1.739025e+03
23,50,80,1.737441e+03
23,50,90,1.735677e+03
23,50,100,1.734758e+03
23,50,1,1.611658e+03
23,50,2,1.556367e+03
23,50,3,1.549628e+03
23,50,5,1.543640e+03
23,50,10,1.421498e+03
23,50,20,1.349008e+03
23,50,30,1.345054e+03
23,50,40,1.342881e+03
23,50,50,1.342624e+03
23,50,60,1.342215e+03
23,50,70,1.341927e+03
23,50,80,1.341445e+03
23,50,90,1.339052e+03
23,50,100,1.336912e+03
23,50,1,1.675651e+03
23,50,2,1.604151e+03
23,50,3,1.576332e+03
23,50,5,1.570324e+03
23,50,10,1.559333e+03
23,50,20,1.543749e+03
23,50,30,1.541648e+03
23,50,40,1.537801e+03
23,50,50,1.532551e+03
23,50,60,1.529743e+03
23,50,70,1.525562e+03
23,50,80,1.521238e+03
23,50,90,1.517473e+03
23,50,100,1.514202e+03
23,50,1,1.548412e+03
23,50,2,1.486185e+03
23,50,3,1.473753e+03
23,50,5,1.471788e+03
23,50,10,1.450864e+03
23,50,20,1.443886e+03
23,50,30,1.431219e+03
23,50,40,1.429410e+03
23,50,50,1.428518e+03
23,50,60,1.427913e+03
23,50,70,1.427461e+03
23,50,80,1.424902e+03
23,50,90,1.423666e+03
23,50,100,1.423519e+03
