funcid,dim,milestone,error
4,30,1,2.728206e+03
4,30,2,4.824420e+02
4,30,3,3.320918e+02
4,30,5,2.850683e+02
4,30,10,2.588034e+02
4,30,20,2.277058e+02
4,30,30,2.058371e+02
4,30,40,1.956583e+02
4,30,50,1.291841e+02
4,30,60,1.258223e+02
4,30,70,1.248418e+02
4,30,80,1.244197e+02
4,30,90,1.238789e+02
4,30,100,1.232348e+02
4,30,1,2.975810e+03
4,30,2,2.915476e+02
4,30,3,1.995358e+02
4,30,5,1.510660e+02
4,30,10,1.282186e+02
4,30,20,1.053299e+02
4,30,30,1.008599e+02
4,30,40,9.692041e+01
4,30,50,9.585833e+01
4,30,60,9.539833e+01
4,30,70,9.479859e+01
4,30,80,9.445123e+01
4,30,90,9.421041e+01
4,30,100,9.388415e+01
4,30,1,4.298686e+03
4,30,2,3.603190e+02
4,30,3,2.630521e+02
4,30,5,1.791525e+02
4,30,10,1.651270e+02
4,30,20,1.594029e+02
4,30,30,1.568859e+02
4,30,40,1.553108e+02
4,30,50,1.183912e+02
4,30,60,1.134774e+02
4,30,70,1.095343e+02
4,30,80,1.063348e+02
4,30,90,1.026840e+02
4,30,100,9.927189e+01
4,30,1,4.285581e+03
4,30,2,3.861102e+02
4,30,3,3.323431e+02
4,30,5,3.017115e+02
4,30,10,2.870094e+02
4,30,20,2.745809e+02
4,30,30,2.622903e+02
4,30,40,2.563463e+02
4,30,50,1.117723e+02
4,30,60,7.018725e+01
4,30,70,6.961380e+01
4,30,80,6.936243e+01
4,30,90,6.915040e+01
4,30,100,6.896596e+01
4,30,1,4.277739e+03
4,30,2,5.993758e+02
4,30,3,4.156704e+02
4,30,5,2.339298e+02
4,30,10,1.880659e+02
4,30,20,1.604859e+02
4,30,30,1.340231e+02
4,30,40,1.280594e+02
4,30,50,9.621310e+01
4,30,60,9.388811e+01
4,30,70,9.285414e+01
4,30,80,9.204645e+01
4,30,90,9.148296e+01
4,30,100,9.110249e+01
4,30,1,2.036168e+03
4,30,2,3.690776e+02
4,30,3,2.961604e+02
4,30,5,2.431340e+02
4,30,10,2.229860e+02
4,30,20,2.110298e+02
4,30,30,2.037938e+02
4,30,40,1.976536e+02
4,30,50,1.695295e+02
4,30,60,1.615622e+02
4,30,70,1.586287e+02
4,30,80,1.550500e+02
4,30,90,1.491790e+02
4,30,100,1.470635e+02
4,30,1,4.581555e+03
4,30,2,7.299606e+02
4,30,3,4.049894e+02
4,30,5,2.058041e+02
4,30,10,1.487452e+02
4,30,20,1.268616e+02
4,30,30,1.232981e+02
4,30,40,1.218145e+02
4,30,50,1.210743e+02
4,30,60,1.205354e+02
4,30,70,1.200580e+02
4,30,80,1.196702e+02
4,30,90,1.194376e+02
4,30,100,1.192013e+02
4,30,1,1.853055e+03
4,30,2,4.019457e+02
4,30,3,3.369432e+02
4,30,5,2.509065e+02
4,30,10,2.236189e+02
4,30,20,2.087427e+02
4,30,30,2.000097e+02
4,30,40,1.947973e+02
4,30,50,1.302076e+02
4,30,60,7.489608e+01
4,30,70,7.165585e+01
4,30,80,7.163896e+01
4,30,90,7.163002e+01
4,30,100,7.161931e+01
4,30,1,4.840248e+03
4,30,2,3.699046e+02
4,30,3,2.263620e+02
4,30,5,1.362826e+02
4,30,10,1.146433e+02
4,30,20,1.051480e+02
4,30,30,1.019380e+02
4,30,40,9.955876e+01
4,30,50,9.799345e+01
4,30,60,9.703940e+01
4,30,70,9.612749e+01
4,30,80,9.565647e+01
4,30,90,9.534868e+01
4,30,100,9.506862e+01
4,30,1,3.562907e+03
4,30,2,3.442231e+02
4,30,3,2.800306e+02
4,30,5,2.071233e+02
4,30,10,1.573310e+02
4,30,20,1.262739e+02
4,30,30,1.227691e+02
4,30,40,1.195678e+02
4,30,50,1.068320e+02
4,30,60,9.482793e+01
4,30,70,9.246127e+01
4,30,80,9.112953e+01
4,30,90,8.986305e+01
4,30,100,8.894333e+01
