funcid,dim,milestone,error
29,10,1,8.264895e+02
29,10,2,5.212651e+02
29,10,3,5.156677e+02
29,10,5,5.156674e+02
29,10,10,4.944358e+02
29,10,20,4.936494e+02
29,10,30,4.927589e+02
29,10,40,4.867250e+02
29,10,50,4.847905e+02
29,10,60,4.846489e+02
29,10,70,4.828289e+02
29,10,80,4.828212e+02
29,10,90,4.812410e+02
29,10,100,4.807695e+02
29,10,1,6.353859e+02
29,10,2,5.140738e+02
29,10,3,4.208850e+02
29,10,5,4.202893e+02
29,10,10,4.193450e+02
29,10,20,4.191331e+02
29,10,30,4.184327e+02
29,10,40,4.176828e+02
29,10,50,4.158800e+02
29,10,60,4.157920e+02
29,10,70,4.154544e+02
29,10,80,4.153940e+02
29,10,90,4.139422e+02
29,10,100,4.139100e+02
29,10,1,6.288175e+02
29,10,2,6.288175e+02
29,10,3,5.564187e+02
29,10,5,5.554106e+02
29,10,10,5.551470e+02
29,10,20,5.534444e+02
29,10,30,5.365770e+02
29,10,40,5.134342e+02
29,10,50,5.007266e+02
29,10,60,4.907173e+02
29,10,70,4.759270e+02
29,10,80,4.712484e+02
29,10,90,4.706192e+02
29,10,100,4.674717e+02
29,10,1,6.752238e+02
29,10,2,6.752238e+02
29,10,3,5.683946e+02
29,10,5,3.653499e+02
29,10,10,3.620330e+02
29,10,20,3.557692e+02
29,10,30,3.555529e+02
29,10,40,3.552444e+02
29,10,50,3.551038e+02
29,10,60,3.547566e+02
29,10,70,3.545772e+02
29,10,80,3.543797e+02
29,10,90,3.543365e+02
29,10,100,3.542580e+02
29,10,1,6.665710e+02
29,10,2,6.552199e+02
29,10,3,4.296800e+02
29,10,5,4.289432e+02
29,10,10,4.275307e+02
29,10,20,4.266333e+02
29,10,30,4.260751e+02
29,10,40,4.248369e+02
29,10,50,4.248127e+02
29,10,60,4.246756e+02
29,10,70,4.246639e+02
29,10,80,4.245857e+02
29,10,90,4.242170e+02
29,10,100,4.241797e+02
29,10,1,6.425786e+02
29,10,2,6.425786e+02
29,10,3,5.991185e+02
29,10,5,4.057747e+02
29,10,10,4.055884e+02
29,10,20,4.054700e+02
29,10,30,4.054558e+02
29,10,40,4.053949e+02
29,10,50,4.049617e+02
29,10,60,2.740001e+02
29,10,70,2.723040e+02
29,10,80,2.722984e+02
29,10,90,2.721936e+02
29,10,100,2.718916e+02
29,10,1,5.334768e+02
29,10,2,5.334768e+02
29,10,3,3.446612e+02
29,10,5,3.445937e+02
29,10,10,3.445588e+02
29,10,20,3.445157e+02
29,10,30,3.443091e+02
29,10,40,3.442644e+02
29,10,50,3.421812e+02
29,10,60,3.421362e+02
29,10,70,3.421173e+02
29,10,80,3.421000e+02
29,10,90,3.420791e+02
29,10,100,3.420572e+02
29,10,1,7.294906e+02
29,10,2,4.655861e+02
29,10,3,3.923597e+02
29,10,5,3.923564e+02
29,10,10,3.778357e+02
29,10,20,3.761459e+02
29,10,30,3.759456e+02
29,10,40,3.747866e+02
29,10,50,3.741806e+02
29,10,60,3.738660e+02
29,10,70,3.738139e+02
29,10,80,3.671378e+02
29,10,90,3.659742e+02
29,10,100,3.658662e+02
29,10,1,7.536748e+02
29,10,2,6.837763e+02
29,10,3,6.203380e+02
29,10,5,6.126293e+02
29,10,10,5.981936e+02
29,10,20,5.754072e+02
29,10,30,5.636084e+02
29,10,40,5.631545e+02
29,10,50,5.577983e+02
29,10,60,5.426779e+02
29,10,70,5.420336e+02
29,10,80,5.417500e+02
29,10,90,5.416465e+02
29,10,100,5.397102e+02
29,10,1,6.705601e+02
29,10,2,6.499110e+02
29,10,3,3.893621e+02
29,10,5,3.874235e+02
29,10,10,3.195190e+02
29,10,20,3.188171e+02
29,10,30,3.182116e+02
29,10,40,3.167276e+02
29,10,50,3.159765e+02
29,10,60,3.156366e+02
29,10,70,3.156257e+02
29,10,80,2.998585e+02
29,10,90,2.998244e+02
29,10,100,2.998199e+02
