funcid,dim,milestone,error
29,30,1,2.309158e+03
29,30,2,2.284209e+03
29,30,3,2.238938e+03
29,30,5,2.221869e+03
29,30,10,2.180751e+03
29,30,20,2.171429e+03
29,30,30,2.168966e+03
29,30,40,2.123817e+03
29,30,50,2.103818e+03
29,30,60,2.100444e+03
29,30,70,2.099670e+03
29,30,80,2.099275e+03
29,30,90,2.099181e+03
29,30,100,2.098636e+03
29,30,1,2.371827e+03
29,30,2,1.668580e+03
29,30,3,1.668110e+03
29,30,5,1.643953e+03
29,30,10,1.643691e+03
29,30,20,1.643525e+03
29,30,30,1.642396e+03
29,30,40,1.642095e+03
29,30,50,1.641810e+03
29,30,60,1.641803e+03
29,30,70,1.641797e+03
29,30,80,1.641797e+03
29,30,90,1.641193e+03
29,30,100,1.640812e+03
29,30,1,3.366061e+03
29,30,2,3.351678e+03
29,30,3,2.937355e+03
29,30,5,2.914933e+03
29,30,10,2.910329e+03
29,30,20,2.894890e+03
29,30,30,2.668136e+03
29,30,40,2.609856e+03
29,30,50,2.578316e+03
29,30,60,2.562751e+03
29,30,70,2.560714e+03
29,30,80,2.557273e+03
29,30,90,2.557111e+03
29,30,100,2.554042e+03
29,30,1,2.819899e+03
29,30,2,2.640418e+03
29,30,3,2.607058e+03
29,30,5,2.581401e+03
29,30,10,2.540444e+03
29,30,20,2.471629e+03
29,30,30,2.440469e+03
29,30,40,2.144554e+03
29,30,50,2.115961e+03
29,30,60,2.109530e+03
29,30,70,2.108513e+03
29,30,80,2.107921e+03
29,30,90,2.107669e+03
29,30,100,2.106959e+03
29,30,1,2.915591e+03
29,30,2,2.542012e+03
29,30,3,2.541732e+03
29,30,5,2.514426e+03
29,30,10,2.413249e+03
29,30,20,2.367835e+03
29,30,30,2.311097e+03
29,30,40,2.299811e+03
29,30,50,2.286365e+03
29,30,60,2.281221e+03
29,30,70,2.278018e+03
29,30,80,2.272324e+03
29,30,90,2.269391e+03
29,30,100,2.268903e+03
29,30,1,3.381986e+03
29,30,2,3.378638e+03
29,30,3,3.376212e+03
29,30,5,3.376193e+03
29,30,10,2.903607e+03
29,30,20,1.809613e+03
29,30,30,1.791992e+03
29,30,40,1.787911e+03
29,30,50,1.784678e+03
29,30,60,1.782023e+03
29,30,70,1.780713e+03
29,30,80,1.778641e+03
29,30,90,1.777448e+03
29,30,100,1.775349e+03
29,30,1,2.943869e+03
29,30,2,1.966639e+03
29,30,3,1.932821e+03
29,30,5,1.902719e+03
29,30,10,1.876935e+03
29,30,20,1.851636e+03
29,30,30,1.715896e+03
29,30,40,1.690400e+03
29,30,50,1.685770e+03
29,30,60,1.679625e+03
29,30,70,1.676365e+03
29,30,80,1.673296e+03
29,30,90,1.670558e+03
29,30,100,1.669497e+03
29,30,1,2.539890e+03
29,30,2,2.535931e+03
29,30,3,2.535866e+03
29,30,5,2.527831e+03
29,30,10,2.523989e+03
29,30,20,2.509370e+03
29,30,30,2.507665e+03
29,30,40,2.507357e+03
29,30,50,2.501392e+03
29,30,60,2.478516e+03
29,30,70,2.474323e+03
29,30,80,2.473248e+03
29,30,90,2.472556e+03
29,30,100,2.472279e+03
29,30,1,1.992948e+03
29,30,2,1.960670e+03
29,30,3,1.927471e+03
29,30,5,1.893444e+03
29,30,10,1.763370e+03
29,30,20,1.736566e+03
29,30,30,1.702276e+03
29,30,40,1.690701e+03
29,30,50,1.678449e+03
29,30,60,1.675274e+03
29,30,70,1.674613e+03
29,30,80,1.673799e+03
29,30,90,1.669771e+03
29,30,100,1.664310e+03
29,30,1,3.043977e+03
29,30,2,3.043864e+03
29,30,3,3.043536e+03
29,30,5,3.043378e+03
29,30,10,3.025541e+03
29,30,20,2.517533e+03
29,30,30,2.490847e+03
29,30,40,2.037129e+03
29,30,50,2.031272e+03
29,30,60,2.028375e+03
29,30,70,2.023606e+03
29,30,80,2.020720e+03
29,30,90,2.019573e+03
29,30,100,2.018520e+03
