funcid,dim,milestone,error
12,30,1,2.552294e+09
12,30,2,1.411686e+07
12,30,3,5.767698e+06
12,30,5,3.131342e+06
12,30,10,2.409691e+06
12,30,20,1.442187e+06
12,30,30,8.766870e+05
12,30,40,5.920624e+05
12,30,50,4.608520e+05
12,30,60,3.675723e+05
12,30,70,3.036836e+05
12,30,80,2.564617e+05
12,30,90,2.260263e+05
12,30,100,2.017841e+05
12,30,1,3.159805e+09
12,30,2,3.091576e+07
12,30,3,2.228143e+07
12,30,5,1.251277e+07
12,30,10,7.476316e+06
12,30,20,3.928229e+06
12,30,30,2.933706e+06
12,30,40,2.572900e+06
12,30,50,2.354970e+06
12,30,60,5.539329e+05
12,30,70,3.216115e+05
12,30,80,2.570565e+05
12,30,90,2.199862e+05
12,30,100,1.937666e+05
12,30,1,1.638693e+09
12,30,2,3.182514e+07
12,30,3,2.134634e+07
12,30,5,1.369190e+07
12,30,10,8.673839e+06
12,30,20,4.630329e+06
12,30,30,2.516809e+06
12,30,40,1.381128e+06
12,30,50,8.576201e+05
12,30,60,5.317159e+05
12,30,70,3.537867e+05
12,30,80,2.406937e+05
12,30,90,1.726280e+05
12,30,100,1.324270e+05
12,30,1,2.633993e+09
12,30,2,2.006416e+08
12,30,3,7.704209e+07
12,30,5,3.367841e+07
12,30,10,2.190148e+07
12,30,20,1.131766e+07
12,30,30,6.041375e+06
12,30,40,3.346428e+06
12,30,50,9.409477e+05
12,30,60,7.683778e+05
12,30,70,7.218869e+05
12,30,80,6.929153e+05
12,30,90,6.723354e+05
12,30,100,6.348423e+05
12,30,1,5.403436e+08
12,30,2,4.978868e+07
12,30,3,3.877607e+07
12,30,5,2.263283e+07
12,30,10,1.233877e+07
12,30,20,6.231674e+06
12,30,30,5.025816e+06
12,30,40,4.248923e+06
12,30,50,3.747312e+06
12,30,60,3.336563e+06
12,30,70,3.001886e+06
12,30,80,2.728392e+06
12,30,90,2.488758e+06
12,30,100,2.286392e+06
12,30,1,2.423525e+09
12,30,2,9.170436e+07
12,30,3,8.709522e+07
12,30,5,6.754599e+07
12,30,10,3.486344e+06
12,30,20,2.103685e+06
12,30,30,1.822437e+06
12,30,40,1.654635e+06
12,30,50,1.555367e+06
12,30,60,1.482563e+06
12,30,70,1.417739e+06
12,30,80,1.362943e+06
12,30,90,1.315883e+06
12,30,100,1.272168e+06
12,30,1,1.716466e+09
12,30,2,3.433369e+08
12,30,3,4.977667e+07
12,30,5,1.498494e+07
12,30,10,9.762385e+06
12,30,20,4.830356e+06
12,30,30,2.729734e+06
12,30,40,1.679719e+06
12,30,50,1.183269e+06
12,30,60,8.733299e+05
12,30,70,6.856331e+05
12,30,80,5.624451e+05
12,30,90,4.800135e+05
12,30,100,4.241436e+05
12,30,1,1.465200e+09
12,30,2,2.421982e+08
12,30,3,9.525153e+07
12,30,5,3.310098e+07
12,30,10,1.623675e+06
12,30,20,9.572273e+05
12,30,30,9.102604e+05
12,30,40,8.816766e+05
12,30,50,8.633398e+05
12,30,60,8.462567e+05
12,30,70,8.300910e+05
12,30,80,8.152444e+05
12,30,90,8.009745e+05
12,30,100,7.872373e+05
12,30,1,4.925319e+08
12,30,2,8.568784e+07
12,30,3,6.500720e+07
12,30,5,2.291804e+07
12,30,10,1.326459e+07
12,30,20,7.669908e+06
12,30,30,4.496438e+06
12,30,40,2.625381e+06
12,30,50,1.948797e+06
12,30,60,1.386016e+06
12,30,70,1.066711e+06
12,30,80,8.513021e+05
12,30,90,7.087226e+05
12,30,100,6.149730e+05
12,30,1,7.129814e+08
12,30,2,2.012835e+08
12,30,3,8.666165e+07
12,30,5,3.215699e+07
12,30,10,1.357844e+07
12,30,20,8.061680e+06
12,30,30,6.022648e+06
12,30,40,2.697358e+06
12,30,50,1.535043e+06
12,30,60,9.304852e+05
12,30,70,5.808649e+05
12,30,80,4.631631e+05
12,30,90,4.373479e+05
12,30,100,4.169205e+05
