funcid,dim,milestone,error
21,30,1,5.427797e+02
21,30,2,4.254283e+02
21,30,3,4.099581e+02
21,30,5,4.059454e+02
21,30,10,4.027990e+02
21,30,20,3.997428e+02
21,30,30,3.978078e+02
21,30,40,3.961288e+02
21,30,50,3.949152e+02
21,30,60,3.936533e+02
21,30,70,3.924964e+02
21,30,80,3.914756e+02
21,30,90,3.905394e+02
21,30,100,3.902321e+02
21,30,1,5.008091e+02
21,30,2,4.090242e+02
21,30,3,3.822438e+02
21,30,5,3.784838e+02
21,30,10,3.770825e+02
21,30,20,3.759739e+02
21,30,30,3.757441e+02
21,30,40,3.756362e+02
21,30,50,3.755723e+02
21,30,60,3.755019e+02
21,30,70,3.754350e+02
21,30,80,3.753652e+02
21,30,90,3.752964e+02
21,30,100,3.752261e+02
21,30,1,5.211579e+02
21,30,2,4.185865e+02
21,30,3,4.128266e+02
21,30,5,4.121707e+02
21,30,10,4.115977e+02
21,30,20,4.105084e+02
21,30,30,4.095283e+02
21,30,40,4.085141e+02
21,30,50,4.077136e+02
21,30,60,4.068956e+02
21,30,70,4.061196e+02
21,30,80,4.053470e+02
21,30,90,4.046147e+02
21,30,100,4.038276e+02
21,30,1,5.097586e+02
21,30,2,4.274461e+02
21,30,3,4.145958e+02
21,30,5,4.112095e+02
21,30,10,4.110713e+02
21,30,20,4.108057e+02
21,30,30,4.105349e+02
21,30,40,4.102787e+02
21,30,50,4.100661e+02
21,30,60,4.098689e+02
21,30,70,4.096734e+02
21,30,80,4.094768e+02
21,30,90,4.092989e+02
21,30,100,4.091012e+02
21,30,1,4.809751e+02
21,30,2,4.224065e+02
21,30,3,4.199183e+02
21,30,5,4.191177e+02
21,30,10,4.184078e+02
21,30,20,4.176944e+02
21,30,30,4.171590e+02
21,30,40,4.166678e+02
21,30,50,4.162663e+02
21,30,60,4.158605e+02
21,30,70,4.154277e+02
21,30,80,4.150372e+02
21,30,90,4.146196e+02
21,30,100,4.141833e+02
21,30,1,4.933013e+02
21,30,2,4.062242e+02
21,30,3,3.922957e+02
21,30,5,3.877003e+02
21,30,10,3.827134e+02
21,30,20,3.776967e+02
21,30,30,3.740988e+02
21,30,40,3.738066e+02
21,30,50,3.737824e+02
21,30,60,3.737776e+02
21,30,70,3.737754e+02
21,30,80,3.737736e+02
21,30,90,3.737719e+02
21,30,100,3.737703e+02
21,30,1,5.374122e+02
21,30,2,4.368843e+02
21,30,3,4.309887e+02
21,30,5,4.301484e+02
21,30,10,4.295500e+02
21,30,20,4.291700e+02
21,30,30,4.290552e+02
21,30,40,4.290263e+02
21,30,50,4.290179e+02
21,30,60,4.290148e+02
21,30,70,4.290131e+02
21,30,80,4.290124e+02
21,30,90,4.290118e+02
21,30,100,4.290115e+02
21,30,1,5.416096e+02
21,30,2,4.743419e+02
21,30,3,4.720860e+02
21,30,5,4.575146e+02
21,30,10,4.533730e+02
21,30,20,4.482639e+02
21,30,30,4.470983e+02
21,30,40,4.469139e+02
21,30,50,4.468514e+02
21,30,60,4.467953e+02
21,30,70,4.467401e+02
21,30,80,4.466836e+02
21,30,90,4.466260e+02
21,30,100,4.465678e+02
21,30,1,5.356539e+02
21,30,2,4.549387e+02
21,30,3,4.376336e+02
21,30,5,4.245030e+02
21,30,10,4.214103e+02
21,30,20,4.196716e+02
21,30,30,4.189709e+02
21,30,40,4.183400e+02
21,30,50,4.178424e+02
21,30,60,4.173494e+02
21,30,70,4.168652e+02
21,30,80,4.163721e+02
21,30,90,4.159208e+02
21,30,100,4.154772e+02
21,30,1,5.270972e+02
21,30,2,4.282398e+02
21,30,3,4.228525e+02
21,30,5,4.203099e+02
21,30,10,4.177489e+02
21,30,20,4.162648e+02
21,30,30,4.160906e+02
21,30,40,4.160627e+02
21,30,50,4.160555e+02
21,30,60,4.160499e+02
21,30,70,4.160447e+02
21,30,80,4.160397e+02
21,30,90,4.160344e+02
21,30,100,4.160292e+02
