funcid,dim,milestone,error
20,10,1,3.479569e+02
20,10,2,3.479569e+02
20,10,3,3.038761e+02
20,10,5,3.038761e+02
20,10,10,1.154975e+02
20,10,20,1.064159e+02
20,10,30,9.776246e+01
20,10,40,9.430511e+01
20,10,50,9.324889e+01
20,10,60,9.236569e+01
20,10,70,9.228493e+01
20,10,80,9.038684e+01
20,10,90,9.034534e+01
20,10,100,9.019483e+01
20,10,1,3.223611e+02
20,10,2,3.106861e+02
20,10,3,2.550169e+02
20,10,5,1.859598e+02
20,10,10,1.739201e+02
20,10,20,1.575347e+02
20,10,30,1.527763e+02
20,10,40,1.514237e+02
20,10,50,1.509198e+02
20,10,60,1.507315e+02
20,10,70,1.505723e+02
20,10,80,1.492053e+02
20,10,90,1.489372e+02
20,10,100,1.488265e+02
20,10,1,3.004343e+02
20,10,2,2.659157e+02
20,10,3,1.728697e+02
20,10,5,1.520942e+02
20,10,10,1.511942e+02
20,10,20,1.503031e+02
20,10,30,1.486264e+02
20,10,40,1.446376e+02
20,10,50,1.434377e+02
20,10,60,1.414146e+02
20,10,70,1.411663e+02
20,10,80,1.409104e+02
20,10,90,1.408558e+02
20,10,100,1.407835e+02
20,10,1,3.325760e+02
20,10,2,3.256528e+02
20,10,3,2.027468e+02
20,10,5,2.008735e+02
20,10,10,1.927853e+02
20,10,20,1.901444e+02
20,10,30,1.825312e+02
20,10,40,1.812355e+02
20,10,50,1.789631e+02
20,10,60,1.777666e+02
20,10,70,1.766038e+02
20,10,80,1.765899e+02
20,10,90,1.764876e+02
20,10,100,1.764841e+02
20,10,1,2.286106e+02
20,10,2,2.286106e+02
20,10,3,1.907115e+02
20,10,5,1.881109e+02
20,10,10,1.797341e+02
20,10,20,1.722171e+02
20,10,30,1.721152e+02
20,10,40,1.604117e+02
20,10,50,1.567727e+02
20,10,60,1.567372e+02
20,10,70,1.567004e+02
20,10,80,1.566983e+02
20,10,90,1.558421e+02
20,10,100,1.557261e+02
20,10,1,2.437987e+02
20,10,2,2.437987e+02
20,10,3,1.968253e+02
20,10,5,1.909397e+02
20,10,10,1.894961e+02
20,10,20,1.363169e+02
20,10,30,1.318917e+02
20,10,40,1.281037e+02
20,10,50,1.259801e+02
20,10,60,1.236784e+02
20,10,70,1.221239e+02
20,10,80,1.215896e+02
20,10,90,1.215118e+02
20,10,100,1.214983e+02
20,10,1,3.895738e+02
20,10,2,3.077471e+02
20,10,3,9.977357e+01
20,10,5,9.847059e+01
20,10,10,9.559503e+01
20,10,20,8.928785e+01
20,10,30,8.722948e+01
20,10,40,8.613824e+01
20,10,50,8.578524e+01
20,10,60,8.506852e+01
20,10,70,8.367734e+01
20,10,80,8.340034e+01
20,10,90,8.337875e+01
20,10,100,8.331036e+01
20,10,1,3.688103e+02
20,10,2,2.101383e+02
20,10,3,1.774427e+02
20,10,5,1.762371e+02
20,10,10,1.623413e+02
20,10,20,1.620650e+02
20,10,30,1.611019e+02
20,10,40,1.602748e+02
20,10,50,1.593206e+02
20,10,60,1.592648e+02
20,10,70,1.592610e+02
20,10,80,1.585868e+02
20,10,90,1.585648e+02
20,10,100,1.584027e+02
20,10,1,4.043546e+02
20,10,2,3.543112e+02
20,10,3,2.577363e+02
20,10,5,2.561474e+02
20,10,10,2.212005e+02
20,10,20,6.930241e+01
20,10,30,6.233799e+01
20,10,40,6.216861e+01
20,10,50,6.183866e+01
20,10,60,6.154433e+01
20,10,70,6.131631e+01
20,10,80,6.130809e+01
20,10,90,6.110041e+01
20,10,100,6.092684e+01
20,10,1,3.097703e+02
20,10,2,3.097703e+02
20,10,3,1.944822e+02
20,10,5,1.944822e+02
20,10,10,1.944820e+02
20,10,20,1.940987e+02
20,10,30,1.939200e+02
20,10,40,1.939172e+02
20,10,50,1.938476e+02
20,10,60,1.934599e+02
20,10,70,1.933790e+02
20,10,80,1.933395e+02
20,10,90,1.921089e+02
20,10,100,1.917419e+02
