funcid,dim,milestone,error
25,30,1,1.719003e+03
25,30,2,6.937690e+02
25,30,3,6.297926e+02
25,30,5,4.880748e+02
25,30,10,4.134682e+02
25,30,20,3.967868e+02
25,30,30,3.964289e+02
25,30,40,3.962591e+02
25,30,50,3.962118e+02
25,30,60,3.961615e+02
25,30,70,3.939386e+02
25,30,80,3.922085e+02
25,30,90,3.910723e+02
25,30,100,3.900102e+02
25,30,1,1.455540e+03
25,30,2,6.250804e+02
25,30,3,5.571964e+02
25,30,5,4.652213e+02
25,30,10,4.078056e+02
25,30,20,3.940205e+02
25,30,30,3.933047e+02
25,30,40,3.932941e+02
25,30,50,3.932275e+02
25,30,60,3.931992e+02
25,30,70,3.930290e+02
25,30,80,3.930224e+02
25,30,90,3.930210e+02
25,30,100,3.930206e+02
25,30,1,1.107343e+03
25,30,2,5.422959e+02
25,30,3,4.929964e+02
25,30,5,4.445594e+02
25,30,10,4.242107e+02
25,30,20,4.175165e+02
25,30,30,4.167254e+02
25,30,40,4.166222e+02
25,30,50,4.166079e+02
25,30,60,4.165910e+02
25,30,70,4.165833e+02
25,30,80,4.165769e+02
25,30,90,4.165721e+02
25,30,100,4.165670e+02
25,30,1,1.132617e+03
25,30,2,6.519731e+02
25,30,3,6.044058e+02
25,30,5,5.008401e+02
25,30,10,4.506201e+02
25,30,20,4.421140e+02
25,30,30,4.411000e+02
25,30,40,4.409550e+02
25,30,50,4.235690e+02
25,30,60,4.065489e+02
25,30,70,4.040057e+02
25,30,80,4.028544e+02
25,30,90,4.028176e+02
25,30,100,4.027978e+02
25,30,1,1.202952e+03
25,30,2,6.276949e+02
25,30,3,5.686871e+02
25,30,5,4.991364e+02
25,30,10,4.353854e+02
25,30,20,4.048690e+02
25,30,30,4.046409e+02
25,30,40,4.046136e+02
25,30,50,4.045981e+02
25,30,60,4.044830e+02
25,30,70,4.044455e+02
25,30,80,4.043884e+02
25,30,90,4.043574e+02
25,30,100,4.043482e+02
25,30,1,1.286769e+03
25,30,2,5.808448e+02
25,30,3,5.264132e+02
25,30,5,4.565073e+02
25,30,10,4.462079e+02
25,30,20,4.380614e+02
25,30,30,4.353980e+02
25,30,40,4.345742e+02
25,30,50,4.201233e+02
25,30,60,4.079481e+02
25,30,70,4.076504e+02
25,30,80,4.076145e+02
25,30,90,4.072769e+02
25,30,100,4.056320e+02
25,30,1,9.947891e+02
25,30,2,6.272137e+02
25,30,3,5.292675e+02
25,30,5,4.426784e+02
25,30,10,4.228283e+02
25,30,20,4.173274e+02
25,30,30,4.147167e+02
25,30,40,4.132535e+02
25,30,50,4.128745e+02
25,30,60,4.035687e+02
25,30,70,4.029422e+02
25,30,80,4.028874e+02
25,30,90,4.028414e+02
25,30,100,4.028022e+02
25,30,1,1.403705e+03
25,30,2,6.488501e+02
25,30,3,6.005617e+02
25,30,5,4.518849e+02
25,30,10,4.079290e+02
25,30,20,3.992482e+02
25,30,30,3.991804e+02
25,30,40,3.991679e+02
25,30,50,3.991660e+02
25,30,60,3.991655e+02
25,30,70,3.991653e+02
25,30,80,3.991653e+02
25,30,90,3.991653e+02
25,30,100,3.991653e+02
25,30,1,1.110072e+03
25,30,2,5.634435e+02
25,30,3,4.827155e+02
25,30,5,4.547029e+02
25,30,10,4.412453e+02
25,30,20,4.342128e+02
25,30,30,4.263682e+02
25,30,40,4.194317e+02
25,30,50,4.163989e+02
25,30,60,4.119325e+02
25,30,70,4.094117e+02
25,30,80,4.077997e+02
25,30,90,4.051120e+02
25,30,100,4.014753e+02
25,30,1,9.724843e+02
25,30,2,6.023151e+02
25,30,3,5.459961e+02
25,30,5,4.914850e+02
25,30,10,4.637386e+02
25,30,20,4.527503e+02
25,30,30,4.515748e+02
25,30,40,4.514380e+02
25,30,50,4.157986e+02
25,30,60,3.916071e+02
25,30,70,3.905051e+02
25,30,80,3.904218e+02
25,30,90,3.904100e+02
25,30,100,3.903909e+02
