funcid,dim,milestone,error
10,50,1,1.131794e+04
10,50,2,8.908704e+03
10,50,3,8.549678e+03
10,50,5,8.216564e+03
10,50,10,7.805625e+03
10,50,20,7.426362e+03
10,50,30,7.193113e+03
10,50,40,7.065609e+03
10,50,50,7.019613e+03
10,50,60,7.005159e+03
10,50,70,6.981946e+03
10,50,80,6.973673e+03
10,50,90,6.965978e+03
10,50,100,6.963028e+03
10,50,1,1.116023e+04
10,50,2,9.045055e+03
10,50,3,8.716521e+03
10,50,5,8.440998e+03
10,50,10,8.312636e+03
10,50,20,8.164708e+03
10,50,30,8.097271e+03
10,50,40,8.034414e+03
10,50,50,8.014386e+03
10,50,60,8.008148e+03
10,50,70,7.993786e+03
10,50,80,7.990190e+03
10,50,90,7.980153e+03
10,50,100,7.976986e+03
10,50,1,1.009644e+04
10,50,2,9.931573e+03
10,50,3,9.678795e+03
10,50,5,9.545837e+03
10,50,10,9.256070e+03
10,50,20,8.964921e+03
10,50,30,8.787647e+03
10,50,40,8.662897e+03
10,50,50,8.567570e+03
10,50,60,8.522622e+03
10,50,70,8.497932e+03
10,50,80,8.425818e+03
10,50,90,8.407180e+03
10,50,100,8.372658e+03
10,50,1,9.675154e+03
10,50,2,7.594602e+03
10,50,3,7.275249e+03
10,50,5,7.187234e+03
10,50,10,7.158823e+03
10,50,20,7.130779e+03
10,50,30,7.124364e+03
10,50,40,7.120652e+03
10,50,50,7.117412e+03
10,50,60,7.116313e+03
10,50,70,7.114988e+03
10,50,80,7.114505e+03
10,50,90,7.114082e+03
10,50,100,7.113835e+03
10,50,1,9.853034e+03
10,50,2,8.376637e+03
10,50,3,7.497957e+03
10,50,5,7.355077e+03
10,50,10,7.006240e+03
10,50,20,6.966418e+03
10,50,30,6.954053e+03
10,50,40,6.931941e+03
10,50,50,6.926933e+03
10,50,60,6.926013e+03
10,50,70,6.917551e+03
10,50,80,6.906232e+03
10,50,90,6.892969e+03
10,50,100,6.887548e+03
10,50,1,1.168785e+04
10,50,2,8.721812e+03
10,50,3,8.218275e+03
10,50,5,8.016578e+03
10,50,10,7.951790e+03
10,50,20,7.787331e+03
10,50,30,7.665073e+03
10,50,40,7.623620e+03
10,50,50,7.601251e+03
10,50,60,7.586059e+03
10,50,70,7.576365e+03
10,50,80,7.569981e+03
10,50,90,7.563650e+03
10,50,100,7.558866e+03
10,50,1,9.932181e+03
10,50,2,9.020625e+03
10,50,3,8.875404e+03
10,50,5,8.788958e+03
10,50,10,8.713322e+03
10,50,20,7.958305e+03
10,50,30,7.551553e+03
10,50,40,7.395143e+03
10,50,50,7.335750e+03
10,50,60,7.306202e+03
10,50,70,7.284481e+03
10,50,80,7.263911e+03
10,50,90,7.245626e+03
10,50,100,7.237224e+03
10,50,1,9.971299e+03
10,50,2,8.453024e+03
10,50,3,8.427970e+03
10,50,5,8.415580e+03
10,50,10,8.111489e+03
10,50,20,7.872104e+03
10,50,30,7.724510e+03
10,50,40,7.680398e+03
10,50,50,7.647175e+03
10,50,60,7.634097e+03
10,50,70,7.592851e+03
10,50,80,7.571449e+03
10,50,90,7.565001e+03
10,50,100,7.536020e+03
10,50,1,1.092733e+04
10,50,2,8.431935e+03
10,50,3,7.790715e+03
10,50,5,7.585204e+03
10,50,10,7.581039e+03
10,50,20,7.420671e+03
10,50,30,7.404387e+03
10,50,40,7.391060e+03
10,50,50,7.379298e+03
10,50,60,7.370495e+03
10,50,70,7.367287e+03
10,50,80,7.345645e+03
10,50,90,7.344747e+03
10,50,100,7.335800e+03
10,50,1,9.743936e+03
10,50,2,8.261944e+03
10,50,3,8.016751e+03
10,50,5,7.924330e+03
10,50,10,7.895963e+03
10,50,20,7.873438e+03
10,50,30,7.856187e+03
10,50,40,7.849357e+03
10,50,50,7.844720e+03
10,50,60,7.842502e+03
10,50,70,7.839690e+03
10,50,80,7.838460e+03
10,50,90,7.837747e+03
10,50,100,7.837304e+03
