funcid,dim,milestone,error
5,10,1,1.024600e+02
5,10,2,1.024600e+02
5,10,3,3.089146e+01
5,10,5,3.084367e+01
5,10,10,3.084366e+01
5,10,20,3.084366e+01
5,10,30,3.084366e+01
5,10,40,3.084366e+01
5,10,50,3.084366e+01
5,10,60,3.084366e+01
5,10,70,3.084366e+01
5,10,80,3.084366e+01
5,10,90,3.084366e+01
5,10,100,3.084366e+01
5,10,1,1.173559e+02
5,10,2,9.681697e+01
5,10,3,2.430745e+01
5,10,5,2.401055e+01
5,10,10,2.368650e+01
5,10,20,2.352621e+01
5,10,30,2.350373e+01
5,10,40,2.350038e+01
5,10,50,2.349249e+01
5,10,60,2.348273e+01
5,10,70,2.348249e+01
5,10,80,2.348199e+01
5,10,90,2.348194e+01
5,10,100,2.348173e+01
5,10,1,1.184750e+02
5,10,2,1.183761e+02
5,10,3,6.673898e+01
5,10,5,6.635435e+01
5,10,10,5.969717e+01
5,10,20,5.969717e+01
5,10,30,5.969717e+01
5,10,40,5.969717e+01
5,10,50,5.969717e+01
5,10,60,5.969717e+01
5,10,70,5.969717e+01
5,10,80,5.969717e+01
5,10,90,5.969717e+01
5,10,100,5.969717e+01
5,10,1,9.030752e+01
5,10,2,9.030752e+01
5,10,3,4.463049e+01
5,10,5,3.084368e+01
5,10,10,3.084368e+01
5,10,20,3.084368e+01
5,10,30,3.084368e+01
5,10,40,3.084368e+01
5,10,50,3.084368e+01
5,10,60,3.084368e+01
5,10,70,3.084368e+01
5,10,80,3.084368e+01
5,10,90,3.084368e+01
5,10,100,3.084368e+01
5,10,1,1.254844e+02
5,10,2,1.254844e+02
5,10,3,5.152155e+01
5,10,5,5.074275e+01
5,10,10,3.106896e+01
5,10,20,2.885376e+01
5,10,30,2.885376e+01
5,10,40,2.885376e+01
5,10,50,2.885376e+01
5,10,60,2.885376e+01
5,10,70,2.885376e+01
5,10,80,2.885376e+01
5,10,90,2.885376e+01
5,10,100,2.885376e+01
5,10,1,1.132733e+02
5,10,2,1.042596e+02
5,10,3,4.379196e+01
5,10,5,3.283339e+01
5,10,10,3.283339e+01
5,10,20,3.283339e+01
5,10,30,3.283339e+01
5,10,40,3.283339e+01
5,10,50,3.283339e+01
5,10,60,3.283339e+01
5,10,70,3.283339e+01
5,10,80,3.283339e+01
5,10,90,3.283339e+01
5,10,100,3.283339e+01
5,10,1,9.470829e+01
5,10,2,9.470829e+01
5,10,3,5.574510e+01
5,10,5,2.387907e+01
5,10,10,2.387897e+01
5,10,20,2.387897e+01
5,10,30,2.387897e+01
5,10,40,2.387897e+01
5,10,50,2.387897e+01
5,10,60,2.387897e+01
5,10,70,2.387897e+01
5,10,80,2.387897e+01
5,10,90,2.387897e+01
5,10,100,2.387897e+01
5,10,1,1.017405e+02
5,10,2,1.017405e+02
5,10,3,3.309201e+01
5,10,5,3.084367e+01
5,10,10,3.084366e+01
5,10,20,3.084366e+01
5,10,30,3.084366e+01
5,10,40,3.084366e+01
5,10,50,3.084366e+01
5,10,60,3.084366e+01
5,10,70,3.084366e+01
5,10,80,3.084366e+01
5,10,90,3.084366e+01
5,10,100,3.084366e+01
5,10,1,1.046456e+02
5,10,2,1.046456e+02
5,10,3,2.948914e+01
5,10,5,2.885371e+01
5,10,10,2.885370e+01
5,10,20,2.885370e+01
5,10,30,2.885370e+01
5,10,40,2.885370e+01
5,10,50,2.885370e+01
5,10,60,2.885370e+01
5,10,70,2.885370e+01
5,10,80,2.885370e+01
5,10,90,2.885370e+01
5,10,100,2.885370e+01
5,10,1,1.185392e+02
5,10,2,7.972184e+01
5,10,3,4.379545e+01
5,10,5,4.137871e+01
5,10,10,3.960336e+01
5,10,20,3.821549e+01
5,10,30,3.791328e+01
5,10,40,3.786566e+01
5,10,50,3.781312e+01
5,10,60,3.777685e+01
5,10,70,3.766397e+01
5,10,80,3.758737e+01
5,10,90,3.747252e+01
5,10,100,3.744751e+01
