funcid,dim,milestone,error
23,30,1,8.892357e+02
23,30,2,8.851002e+02
23,30,3,8.837450e+02
23,30,5,8.806251e+02
23,30,10,8.748980e+02
23,30,20,8.573469e+02
23,30,30,8.522363e+02
23,30,40,8.492829e+02
23,30,50,8.479468e+02
23,30,60,8.467888e+02
23,30,70,8.456819e+02
23,30,80,8.448810e+02
23,30,90,8.443841e+02
23,30,100,8.438085e+02
23,30,1,1.097283e+03
23,30,2,9.564739e+02
23,30,3,9.361017e+02
23,30,5,9.289504e+02
23,30,10,9.255116e+02
23,30,20,9.229523e+02
23,30,30,9.203351e+02
23,30,40,9.198925e+02
23,30,50,9.192783e+02
23,30,60,9.191175e+02
23,30,70,9.189476e+02
23,30,80,9.187267e+02
23,30,90,9.186695e+02
23,30,100,9.178089e+02
23,30,1,1.090989e+03
23,30,2,9.560490e+02
23,30,3,9.309392e+02
23,30,5,9.159216e+02
23,30,10,8.873207e+02
23,30,20,8.708403e+02
23,30,30,8.690979e+02
23,30,40,8.690973e+02
23,30,50,8.690973e+02
23,30,60,8.690973e+02
23,30,70,8.690973e+02
23,30,80,8.690973e+02
23,30,90,8.690973e+02
23,30,100,8.690973e+02
23,30,1,8.890523e+02
23,30,2,8.270730e+02
23,30,3,8.244289e+02
23,30,5,8.146112e+02
23,30,10,8.111720e+02
23,30,20,8.111353e+02
23,30,30,8.089484e+02
23,30,40,8.087652e+02
23,30,50,8.087639e+02
23,30,60,8.086358e+02
23,30,70,8.086152e+02
23,30,80,8.084409e+02
23,30,90,8.081854e+02
23,30,100,8.080285e+02
23,30,1,8.327380e+02
23,30,2,7.681909e+02
23,30,3,7.635416e+02
23,30,5,7.619844e+02
23,30,10,7.618802e+02
23,30,20,7.617025e+02
23,30,30,7.303528e+02
23,30,40,7.295848e+02
23,30,50,7.295062e+02
23,30,60,7.251227e+02
23,30,70,7.251057e+02
23,30,80,7.250423e+02
23,30,90,7.250319e+02
23,30,100,7.250128e+02
23,30,1,1.077734e+03
23,30,2,1.044882e+03
23,30,3,1.018163e+03
23,30,5,9.867338e+02
23,30,10,8.967250e+02
23,30,20,8.910371e+02
23,30,30,8.887545e+02
23,30,40,8.881546e+02
23,30,50,8.852656e+02
23,30,60,8.846762e+02
23,30,70,8.846050e+02
23,30,80,8.838476e+02
23,30,90,8.836362e+02
23,30,100,8.834518e+02
23,30,1,1.002690e+03
23,30,2,9.673879e+02
23,30,3,9.647438e+02
23,30,5,9.580153e+02
23,30,10,9.541372e+02
23,30,20,9.368868e+02
23,30,30,9.254530e+02
23,30,40,9.187187e+02
23,30,50,9.179594e+02
23,30,60,9.172498e+02
23,30,70,9.131411e+02
23,30,80,9.126494e+02
23,30,90,9.121210e+02
23,30,100,9.119707e+02
23,30,1,1.067009e+03
23,30,2,9.421463e+02
23,30,3,9.309412e+02
23,30,5,9.264623e+02
23,30,10,9.244633e+02
23,30,20,8.724169e+02
23,30,30,8.069101e+02
23,30,40,8.066584e+02
23,30,50,8.065880e+02
23,30,60,8.065395e+02
23,30,70,8.065304e+02
23,30,80,8.065235e+02
23,30,90,8.065177e+02
23,30,100,8.065137e+02
23,30,1,1.221726e+03
23,30,2,9.163612e+02
23,30,3,8.976757e+02
23,30,5,8.797995e+02
23,30,10,8.764315e+02
23,30,20,8.764133e+02
23,30,30,8.764085e+02
23,30,40,8.764068e+02
23,30,50,8.764057e+02
23,30,60,8.764039e+02
23,30,70,8.763894e+02
23,30,80,8.763841e+02
23,30,90,8.763825e+02
23,30,100,8.763738e+02
23,30,1,9.504763e+02
23,30,2,8.981209e+02
23,30,3,8.842686e+02
23,30,5,8.736237e+02
23,30,10,8.648593e+02
23,30,20,8.568380e+02
23,30,30,8.501070e+02
23,30,40,8.447404e+02
23,30,50,8.436233e+02
23,30,60,8.413459e+02
23,30,70,8.407786e+02
23,30,80,8.394338e+02
23,30,90,8.388599e+02
23,30,100,8.384043e+02
