funcid,dim,milestone,error
1,30,1,1.180117e+10
1,30,2,7.317336e+08
1,30,3,1.567199e+08
1,30,5,2.138681e+05
1,30,10,9.188965e+02
1,30,20,9.185995e+02
1,30,30,9.185718e+02
1,30,40,9.185436e+02
1,30,50,2.499393e+02
1,30,60,2.495637e+02
1,30,70,2.495579e+02
1,30,80,2.495516e+02
1,30,90,2.495453e+02
1,30,100,2.495386e+02
1,30,1,1.624358e+10
1,30,2,5.011753e+08
1,30,3,7.468067e+07
1,30,5,9.250468e+04
1,30,10,1.128925e+03
1,30,20,1.128731e+03
1,30,30,1.128697e+03
1,30,40,1.128661e+03
1,30,50,1.128633e+03
1,30,60,1.128606e+03
1,30,70,1.128580e+03
1,30,80,1.128553e+03
1,30,90,1.128527e+03
1,30,100,1.128498e+03
1,30,1,1.468901e+10
1,30,2,5.845322e+08
1,30,3,7.176046e+07
1,30,5,1.254342e+05
1,30,10,1.871444e+04
1,30,20,1.871368e+04
1,30,30,1.871309e+04
1,30,40,1.871250e+04
1,30,50,1.565343e+01
1,30,60,1.525165e+01
1,30,70,1.525129e+01
1,30,80,1.525094e+01
1,30,90,1.525059e+01
1,30,100,1.525019e+01
1,30,1,1.803277e+10
1,30,2,8.156946e+08
1,30,3,7.932377e+07
1,30,5,1.568180e+05
1,30,10,1.418435e+04
1,30,20,1.418367e+04
1,30,30,1.418322e+04
1,30,40,1.418280e+04
1,30,50,1.053548e+01
1,30,60,1.035548e+01
1,30,70,1.035526e+01
1,30,80,1.035502e+01
1,30,90,1.035479e+01
1,30,100,1.035451e+01
1,30,1,1.319413e+10
1,30,2,4.760987e+08
1,30,3,5.912911e+07
1,30,5,1.056249e+05
1,30,10,2.251570e+03
1,30,20,2.251337e+03
1,30,30,2.251271e+03
1,30,40,2.251205e+03
1,30,50,2.251151e+03
1,30,60,2.251096e+03
1,30,70,2.251037e+03
1,30,80,2.250983e+03
1,30,90,2.250927e+03
1,30,100,2.250873e+03
1,30,1,1.386864e+10
1,30,2,4.338541e+08
1,30,3,2.072345e+07
1,30,5,5.964645e+04
1,30,10,7.560391e+02
1,30,20,7.557410e+02
1,30,30,7.557166e+02
1,30,40,7.556922e+02
1,30,50,7.556744e+02
1,30,60,7.556557e+02
1,30,70,7.556371e+02
1,30,80,7.556183e+02
1,30,90,7.556013e+02
1,30,100,7.555823e+02
1,30,1,1.791587e+10
1,30,2,1.045572e+09
1,30,3,1.543252e+08
1,30,5,7.480111e+04
1,30,10,1.131962e+03
1,30,20,1.131833e+03
1,30,30,1.131799e+03
1,30,40,1.131764e+03
1,30,50,3.079290e+02
1,30,60,3.063616e+02
1,30,70,3.063548e+02
1,30,80,3.063478e+02
1,30,90,3.063402e+02
1,30,100,3.063318e+02
1,30,1,1.950657e+10
1,30,2,6.286823e+08
1,30,3,1.231045e+08
1,30,5,1.687888e+05
1,30,10,4.285149e+03
1,30,20,4.284772e+03
1,30,30,4.284646e+03
1,30,40,4.284521e+03
1,30,50,1.287414e+01
1,30,60,1.251491e+01
1,30,70,1.251462e+01
1,30,80,1.251435e+01
1,30,90,1.251408e+01
1,30,100,1.251378e+01
1,30,1,9.821154e+09
1,30,2,4.438709e+08
1,30,3,5.198187e+07
1,30,5,1.026722e+05
1,30,10,3.171601e+03
1,30,20,3.171269e+03
1,30,30,3.171170e+03
1,30,40,3.171071e+03
1,30,50,5.078626e+01
1,30,60,4.885177e+01
1,30,70,4.885064e+01
1,30,80,4.884956e+01
1,30,90,4.884840e+01
1,30,100,4.884718e+01
1,30,1,2.056681e+10
1,30,2,7.250073e+08
1,30,3,1.096533e+08
1,30,5,1.874083e+05
1,30,10,7.138549e+03
1,30,20,7.138280e+03
1,30,30,7.138053e+03
1,30,40,7.137831e+03
1,30,50,2.157771e+02
1,30,60,2.111441e+02
1,30,70,2.111394e+02
1,30,80,2.111341e+02
1,30,90,2.111291e+02
1,30,100,2.111235e+02
