funcid,dim,milestone,error
27,50,1,3.007472e+03
27,50,2,2.944437e+03
27,50,3,2.906608e+03
27,50,5,2.884149e+03
27,50,10,1.942924e+03
27,50,20,1.686641e+03
27,50,30,1.681764e+03
27,50,40,1.679862e+03
27,50,50,1.674902e+03
27,50,60,1.670972e+03
27,50,70,1.668840e+03
27,50,80,1.668824e+03
27,50,90,1.661924e+03
27,50,100,1.661366e+03
27,50,1,2.725013e+03
27,50,2,2.704516e+03
27,50,3,2.700373e+03
27,50,5,2.631155e+03
27,50,10,2.259568e+03
27,50,20,2.242747e+03
27,50,30,2.237916e+03
27,50,40,2.232672e+03
27,50,50,2.230335e+03
27,50,60,2.229840e+03
27,50,70,2.229408e+03
27,50,80,2.229324e+03
27,50,90,2.229150e+03
27,50,100,2.229127e+03
27,50,1,2.787206e+03
27,50,2,2.597830e+03
27,50,3,2.582800e+03
27,50,5,2.578629e+03
27,50,10,2.563024e+03
27,50,20,2.537212e+03
27,50,30,2.526174e+03
27,50,40,2.517200e+03
27,50,50,2.508882e+03
27,50,60,2.507615e+03
27,50,70,2.504015e+03
27,50,80,2.502241e+03
27,50,90,2.501834e+03
27,50,100,2.501830e+03
27,50,1,3.513294e+03
27,50,2,3.458245e+03
27,50,3,3.411500e+03
27,50,5,3.224339e+03
27,50,10,3.181477e+03
27,50,20,2.290654e+03
27,50,30,1.678310e+03
27,50,40,1.638067e+03
27,50,50,1.617233e+03
27,50,60,1.601235e+03
27,50,70,1.586078e+03
27,50,80,1.584347e+03
27,50,90,1.581901e+03
27,50,100,1.574438e+03
27,50,1,2.908427e+03
27,50,2,2.807924e+03
27,50,3,2.797086e+03
27,50,5,2.783665e+03
27,50,10,2.713152e+03
27,50,20,2.228789e+03
27,50,30,2.213819e+03
27,50,40,2.210166e+03
27,50,50,2.180169e+03
27,50,60,2.173871e+03
27,50,70,2.167218e+03
27,50,80,2.159245e+03
27,50,90,2.158641e+03
27,50,100,2.158584e+03
27,50,1,2.991093e+03
27,50,2,2.634019e+03
27,50,3,2.585035e+03
27,50,5,2.509115e+03
27,50,10,2.483454e+03
27,50,20,2.459921e+03
27,50,30,2.276189e+03
27,50,40,2.268042e+03
27,50,50,2.265108e+03
27,50,60,2.264598e+03
27,50,70,2.264107e+03
27,50,80,2.263806e+03
27,50,90,2.263674e+03
27,50,100,2.263556e+03
27,50,1,3.364914e+03
27,50,2,2.778249e+03
27,50,3,2.757305e+03
27,50,5,2.362212e+03
27,50,10,2.336277e+03
27,50,20,2.054945e+03
27,50,30,2.054932e+03
27,50,40,2.054705e+03
27,50,50,2.047259e+03
27,50,60,2.045931e+03
27,50,70,2.043088e+03
27,50,80,2.043085e+03
27,50,90,2.042712e+03
27,50,100,2.041279e+03
27,50,1,2.536024e+03
27,50,2,2.389509e+03
27,50,3,2.164553e+03
27,50,5,2.119319e+03
27,50,10,2.087264e+03
27,50,20,2.079830e+03
27,50,30,2.075965e+03
27,50,40,2.071194e+03
27,50,50,2.068719e+03
27,50,60,2.068495e+03
27,50,70,2.067857e+03
27,50,80,2.067689e+03
27,50,90,2.065688e+03
27,50,100,2.065476e+03
27,50,1,2.699586e+03
27,50,2,2.549798e+03
27,50,3,2.448781e+03
27,50,5,2.402147e+03
27,50,10,2.384863e+03
27,50,20,2.369853e+03
27,50,30,2.349188e+03
27,50,40,2.322671e+03
27,50,50,2.297008e+03
27,50,60,2.292401e+03
27,50,70,2.290904e+03
27,50,80,2.290117e+03
27,50,90,2.289612e+03
27,50,100,2.289484e+03
27,50,1,3.655451e+03
27,50,2,3.572369e+03
27,50,3,3.020163e+03
27,50,5,2.916097e+03
27,50,10,1.944131e+03
27,50,20,1.849876e+03
27,50,30,1.819803e+03
27,50,40,1.801429e+03
27,50,50,1.795603e+03
27,50,60,1.790751e+03
27,50,70,1.784963e+03
27,50,80,1.773027e+03
27,50,90,1.770515e+03
27,50,100,1.768275e+03
