funcid,dim,milestone,error
21,50,1,8.643949e+02
21,50,2,7.665660e+02
21,50,3,7.514986e+02
21,50,5,7.473110e+02
21,50,10,7.470488e+02
21,50,20,7.469909e+02
21,50,30,7.469823e+02
21,50,40,7.469809e+02
21,50,50,7.469807e+02
21,50,60,7.469807e+02
21,50,70,7.469806e+02
21,50,80,7.469806e+02
21,50,90,7.469806e+02
21,50,100,7.469806e+02
21,50,1,9.531992e+02
21,50,2,8.465133e+02
21,50,3,8.132446e+02
21,50,5,7.930424e+02
21,50,10,7.902913e+02
21,50,20,7.727345e+02
21,50,30,7.637203e+02
21,50,40,7.555990e+02
21,50,50,7.533651e+02
21,50,60,7.529866e+02
21,50,70,7.529256e+02
21,50,80,7.529147e+02
21,50,90,7.529130e+02
21,50,100,7.529127e+02
21,50,1,9.182578e+02
21,50,2,8.432930e+02
21,50,3,8.268215e+02
21,50,5,8.197908e+02
21,50,10,8.127234e+02
21,50,20,8.080589e+02
21,50,30,8.072288e+02
21,50,40,8.071096e+02
21,50,50,8.070913e+02
21,50,60,8.070880e+02
21,50,70,8.070874e+02
21,50,80,8.070873e+02
21,50,90,8.070873e+02
21,50,100,8.070873e+02
21,50,1,8.745881e+02
21,50,2,7.804623e+02
21,50,3,7.449963e+02
21,50,5,7.320538e+02
21,50,10,7.301105e+02
21,50,20,7.296765e+02
21,50,30,7.296144e+02
21,50,40,7.296031e+02
21,50,50,7.296013e+02
21,50,60,7.296009e+02
21,50,70,7.296009e+02
21,50,80,7.296009e+02
21,50,90,7.296009e+02
21,50,100,7.296009e+02
21,50,1,9.200987e+02
21,50,2,7.850809e+02
21,50,3,7.581874e+02
21,50,5,7.518896e+02
21,50,10,7.499640e+02
21,50,20,7.484686e+02
21,50,30,7.481874e+02
21,50,40,7.481378e+02
21,50,50,7.481296e+02
21,50,60,7.481280e+02
21,50,70,7.481277e+02
21,50,80,7.481276e+02
21,50,90,7.481276e+02
21,50,100,7.481276e+02
21,50,1,9.216524e+02
21,50,2,8.253877e+02
21,50,3,7.850477e+02
21,50,5,7.603111e+02
21,50,10,7.585526e+02
21,50,20,7.584494e+02
21,50,30,7.584435e+02
21,50,40,7.584425e+02
21,50,50,7.584424e+02
21,50,60,7.584424e+02
21,50,70,7.584424e+02
21,50,80,7.584424e+02
21,50,90,7.584424e+02
21,50,100,7.584424e+02
21,50,1,9.308124e+02
21,50,2,7.930186e+02
21,50,3,7.736669e+02
21,50,5,7.539621e+02
21,50,10,7.443632e+02
21,50,20,7.413063e+02
21,50,30,7.408709e+02
21,50,40,7.408043e+02
21,50,50,7.407940e+02
21,50,60,7.407922e+02
21,50,70,7.407919e+02
21,50,80,7.407919e+02
21,50,90,7.407918e+02
21,50,100,7.407918e+02
21,50,1,9.063666e+02
21,50,2,8.040265e+02
21,50,3,7.821479e+02
21,50,5,7.735757e+02
21,50,10,7.667061e+02
21,50,20,7.377690e+02
21,50,30,7.341615e+02
21,50,40,7.338952e+02
21,50,50,7.337699e+02
21,50,60,7.337128e+02
21,50,70,7.336630e+02
21,50,80,7.336260e+02
21,50,90,7.336003e+02
21,50,100,7.335754e+02
21,50,1,8.338057e+02
21,50,2,7.516413e+02
21,50,3,7.245509e+02
21,50,5,7.197530e+02
21,50,10,7.175712e+02
21,50,20,7.161076e+02
21,50,30,7.148256e+02
21,50,40,7.142634e+02
21,50,50,7.139402e+02
21,50,60,7.136653e+02
21,50,70,7.135209e+02
21,50,80,7.134345e+02
21,50,90,7.132536e+02
21,50,100,7.132139e+02
21,50,1,9.215323e+02
21,50,2,8.003119e+02
21,50,3,7.682782e+02
21,50,5,7.571122e+02
21,50,10,7.549476e+02
21,50,20,7.512604e+02
21,50,30,7.482391e+02
21,50,40,7.460611e+02
21,50,50,7.450758e+02
21,50,60,7.441660e+02
21,50,70,7.437063e+02
21,50,80,7.432961e+02
21,50,90,7.429323e+02
21,50,100,7.425892e+02
